2020-04-08 19:24:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.792, 	5.41343656, 	0.966851%, 	0.760000%, 	0.206851%
2020-04-08 19:24:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.792, 	10.0, 	0.966851%, 	0.760000%, 	0.206851%
2020-04-08 19:24:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.798, 	251.07569987, 	0.862366%, 	0.760000%, 	0.102366%
2020-04-08 19:25:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.849, 	70.569, 	5.798, 	126.02640442, 	0.879614%, 	0.760000%, 	0.119614%
2020-04-08 19:25:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	60.276, 	5.8, 	346.83607073, 	0.862069%, 	0.760000%, 	0.102069%
2020-04-08 19:25:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	28.082, 	5.798, 	125.03607073, 	0.896861%, 	0.760000%, 	0.136861%
2020-04-08 19:25:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	28.082, 	5.799, 	112.43084257, 	0.879462%, 	0.760000%, 	0.119462%
2020-04-08 19:26:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	28.082, 	5.799, 	112.43084257, 	0.879462%, 	0.760000%, 	0.119462%
2020-04-08 19:26:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.851, 	60.266, 	5.798, 	111.94143254, 	0.914108%, 	0.760000%, 	0.154108%
2020-04-08 19:26:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.851, 	10.282, 	5.799, 	111.94143254, 	0.896706%, 	0.760000%, 	0.136706%
2020-04-08 19:26:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.852, 	70.538, 	5.798, 	111.94143254, 	0.931356%, 	0.760000%, 	0.171356%
2020-04-08 19:27:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.852, 	70.538, 	5.799, 	111.94143254, 	0.913951%, 	0.760000%, 	0.153951%
2020-04-08 19:27:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.852, 	70.538, 	5.799, 	111.94143254, 	0.913951%, 	0.760000%, 	0.153951%
2020-04-08 19:27:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.854, 	70.517, 	5.799, 	115.93688922, 	0.948439%, 	0.760000%, 	0.188439%
2020-04-08 19:27:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.855, 	88.907, 	5.808, 	9.09918151, 	0.809229%, 	0.760000%, 	0.049229%
2020-04-08 19:28:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	70.496, 	5.805, 	9.09918151, 	0.878553%, 	0.760000%, 	0.118553%
2020-04-08 19:28:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	10.282, 	5.806, 	9.09918151, 	0.861178%, 	0.760000%, 	0.101178%
2020-04-08 19:28:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	10.282, 	5.805, 	10.0, 	0.878553%, 	0.760000%, 	0.118553%
2020-04-08 19:28:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.856, 	30.282, 	5.808, 	10.0, 	0.826446%, 	0.760000%, 	0.066446%
2020-04-08 19:29:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.857, 	60.204, 	5.809, 	149.99054761, 	0.826304%, 	0.760000%, 	0.066304%
2020-04-08 19:29:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.857, 	10.282, 	5.809, 	125.88869122, 	0.826304%, 	0.760000%, 	0.066304%
