2020-04-07 21:45:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775532, 	7.0807623, 	0.0076, 	1.57050429, 	2.043684%, 	0.240000%, 	1.803684%
2020-04-07 21:45:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775684, 	7.0, 	0.0076, 	214.87451992, 	2.063684%, 	0.240000%, 	1.823684%
2020-04-07 21:46:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775004, 	7.0, 	0.0076, 	87.58823755, 	1.974211%, 	0.240000%, 	1.734211%
2020-04-07 21:46:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775185, 	7.0, 	0.0076, 	199.15864972, 	1.998026%, 	0.240000%, 	1.758026%
2020-04-07 21:47:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.0077545, 	5.933912, 	0.0076, 	188.72728421, 	2.032895%, 	0.240000%, 	1.792895%
2020-04-07 21:47:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775637, 	7.0, 	0.0076, 	145.54223266, 	2.057500%, 	0.240000%, 	1.817500%
2020-04-07 21:48:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775, 	20.25255758, 	0.0076, 	145.54223266, 	1.973684%, 	0.240000%, 	1.733684%
2020-04-07 21:48:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775617, 	0.03722194, 	0.0076, 	142.37965632, 	2.054868%, 	0.240000%, 	1.814868%
2020-04-07 21:49:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775013, 	7.0, 	0.0076, 	87.58823755, 	1.975395%, 	0.240000%, 	1.735395%
2020-04-07 21:49:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775001, 	0.33358914, 	0.0076, 	87.29221438, 	1.973816%, 	0.240000%, 	1.733816%
2020-04-07 21:50:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775298, 	0.33346128, 	0.0076, 	136.09546287, 	2.012895%, 	0.240000%, 	1.772895%
2020-04-07 21:50:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775475, 	3.84686814, 	0.0076, 	9.620586, 	2.036184%, 	0.240000%, 	1.796184%
2020-04-07 21:51:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775533, 	0.33336019, 	0.0076, 	9.797652, 	2.043816%, 	0.240000%, 	1.803816%
2020-04-07 21:51:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775533, 	0.33336019, 	0.0076, 	87.29221438, 	2.043816%, 	0.240000%, 	1.803816%
2020-04-07 21:52:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775533, 	0.33336019, 	0.0076, 	87.29221438, 	2.043816%, 	0.240000%, 	1.803816%
2020-04-07 21:52:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775533, 	0.33336019, 	0.0076, 	87.29221438, 	2.043816%, 	0.240000%, 	1.803816%
2020-04-07 21:53:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775533, 	0.33336019, 	0.0076, 	87.29221438, 	2.043816%, 	0.240000%, 	1.803816%
2020-04-07 21:53:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775533, 	1.49346298, 	0.0076, 	86.19684791, 	2.043816%, 	0.240000%, 	1.803816%
2020-04-07 21:54:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775575, 	4.83662, 	0.0076, 	19.3332231, 	2.049342%, 	0.240000%, 	1.809342%
2020-04-07 21:54:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775576, 	1.49338014, 	0.0076, 	8.69892537, 	2.049474%, 	0.240000%, 	1.809474%
2020-04-07 21:55:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775826, 	1.49289889, 	0.0076, 	9.699282, 	2.082368%, 	0.240000%, 	1.842368%
2020-04-07 21:55:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775751, 	1.49304322, 	0.0076, 	131.6921037, 	2.072500%, 	0.240000%, 	1.832500%
2020-04-07 21:56:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775751, 	1.49304322, 	0.0076, 	9.817326, 	2.072500%, 	0.240000%, 	1.832500%
2020-04-07 21:56:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775751, 	1.49304322, 	0.0076, 	95.37166638, 	2.072500%, 	0.240000%, 	1.832500%
2020-04-07 21:57:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775751, 	1.49304321, 	0.0076, 	95.37166638, 	2.072500%, 	0.240000%, 	1.832500%
2020-04-07 21:57:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775751, 	1.49304321, 	0.0076, 	9.78780993, 	2.072500%, 	0.240000%, 	1.832500%
2020-04-07 21:58:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775788, 	1.492972, 	0.0076, 	95.37166638, 	2.077368%, 	0.240000%, 	1.837368%
2020-04-07 21:58:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775751, 	1.49304319, 	0.0076, 	86.19684791, 	2.072500%, 	0.240000%, 	1.832500%
2020-04-07 21:59:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775001, 	3.34647168, 	0.0076, 	87.6898911, 	1.973816%, 	0.240000%, 	1.733816%
2020-04-07 21:59:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775001, 	3.34647168, 	0.0076, 	87.6898911, 	1.973816%, 	0.240000%, 	1.733816%
2020-04-07 22:00:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775, 	20.25255758, 	0.0076, 	87.6898911, 	1.973684%, 	0.240000%, 	1.733684%
2020-04-07 22:00:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00774314, 	0.02530611, 	0.0076, 	8.9721, 	1.883421%, 	0.240000%, 	1.643421%
2020-04-07 22:01:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00774309, 	0.0258, 	0.0076, 	113.68893928, 	1.882763%, 	0.240000%, 	1.642763%
2020-04-07 22:01:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00774256, 	0.08437101, 	0.0076, 	133.06058223, 	1.875789%, 	0.240000%, 	1.635789%
2020-04-07 22:02:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00774256, 	0.08437101, 	0.007597, 	113.68893928, 	1.916019%, 	0.240000%, 	1.676019%
2020-04-07 22:02:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00773521, 	19.37565381, 	0.007597, 	258.31358247, 	1.819271%, 	0.240000%, 	1.579271%
2020-04-07 22:03:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00773558, 	6.22434, 	0.007595, 	258.31358247, 	1.850955%, 	0.240000%, 	1.610955%
2020-04-07 22:03:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00771649, 	38.96614968, 	0.007595, 	9.699282, 	1.599605%, 	0.240000%, 	1.359605%
2020-04-07 22:04:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00771902, 	5.7, 	0.007596, 	9.827163, 	1.619537%, 	0.240000%, 	1.379537%
2020-04-07 22:04:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770868, 	2.9, 	0.007594, 	113.68893928, 	1.510140%, 	0.240000%, 	1.270140%
2020-04-07 22:05:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00771649, 	7.0, 	0.007594, 	9.0016, 	1.612984%, 	0.240000%, 	1.372984%
2020-04-07 22:05:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00771424, 	3.50265599, 	0.00759, 	1.84484962, 	1.636891%, 	0.240000%, 	1.396891%
2020-04-07 22:06:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00772, 	9.0749, 	0.007588, 	7.0, 	1.739589%, 	0.240000%, 	1.499589%
2020-04-07 22:06:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00773056, 	2.06347534, 	0.007586, 	272.48689428, 	1.905616%, 	0.240000%, 	1.665616%
2020-04-07 22:07:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00773038, 	2.06352336, 	0.007584, 	133.05729482, 	1.930116%, 	0.240000%, 	1.690116%
2020-04-07 22:07:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770915, 	0.91780834, 	0.007582, 	13.95556, 	1.676998%, 	0.240000%, 	1.436998%
2020-04-07 22:08:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.0077092, 	1.9, 	0.00758, 	125.55010395, 	1.704485%, 	0.240000%, 	1.464485%
2020-04-07 22:08:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00772001, 	86.721377, 	0.00758, 	0.0259, 	1.847098%, 	0.240000%, 	1.607098%
2020-04-07 22:09:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770865, 	7.399667, 	0.007578, 	40.35327168, 	1.724070%, 	0.240000%, 	1.484070%
2020-04-07 22:09:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770869, 	7.0, 	0.007575, 	299.58684762, 	1.764884%, 	0.240000%, 	1.524884%
2020-04-07 22:10:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770867, 	45.464046, 	0.0076, 	299.61274762, 	1.429868%, 	0.240000%, 	1.189868%
2020-04-07 22:10:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770864, 	59.99385401, 	0.0076, 	285.79055308, 	1.429474%, 	0.240000%, 	1.189474%
2020-04-07 22:11:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770864, 	59.99385401, 	0.0076, 	281.14675308, 	1.429474%, 	0.240000%, 	1.189474%
2020-04-07 22:11:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770864, 	60.205808, 	0.0076, 	281.14675308, 	1.429474%, 	0.240000%, 	1.189474%
2020-04-07 22:12:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00770945, 	0.45623747, 	0.0076, 	157.16207708, 	1.440132%, 	0.240000%, 	1.200132%
