2020-04-11 15:13:44, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:14, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:29, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:40, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:14:44, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
