2020-04-08 13:54:20, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	155.12, 	0.23088, 	0.547963%, 	0.360000%, 	0.187963%
2020-04-08 13:54:35, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.47058, 	155.12, 	0.23088, 	0.547963%, 	0.360000%, 	0.187963%
2020-04-08 13:54:50, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.47058, 	155.15, 	0.23088, 	0.528521%, 	0.360000%, 	0.168521%
2020-04-08 13:55:05, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.47058, 	155.15, 	0.23088, 	0.528521%, 	0.360000%, 	0.168521%
2020-04-08 13:55:20, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.47058, 	155.15, 	0.23088, 	0.528521%, 	0.360000%, 	0.168521%
2020-04-08 13:55:35, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.47058, 	155.15, 	0.23088, 	0.528521%, 	0.360000%, 	0.168521%
2020-04-08 13:55:50, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.98, 	0.19, 	155.46, 	0.23088, 	0.334491%, 	0.360000%, 	-0.025509%
2020-04-08 14:06:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.77, 	0.079, 	0.481479%, 	0.360000%, 	0.121479%
2020-04-08 14:06:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.73, 	0.079, 	0.507288%, 	0.360000%, 	0.147288%
2020-04-08 14:06:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.77, 	0.079, 	0.481479%, 	0.360000%, 	0.121479%
2020-04-08 14:06:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.7, 	0.079, 	0.526654%, 	0.360000%, 	0.166654%
2020-04-08 14:07:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.76, 	0.079, 	0.487930%, 	0.360000%, 	0.127930%
2020-04-08 14:07:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.52, 	0.20727, 	155.76, 	0.079, 	0.487930%, 	0.360000%, 	0.127930%
