2020-04-07 22:48:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:49:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:49:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.662e-05, 	653.25397035, 	0.150263%, 	0.190000%, 	-0.039737%
2020-04-08 00:16:08, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.66e-05, 	653.25397035, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-08 00:16:38, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.66e-05, 	653.25397035, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-08 00:17:08, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.66e-05, 	653.25397035, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-08 00:17:38, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.66e-05, 	653.25397035, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-08 00:18:08, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.66e-05, 	653.25397035, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-08 00:18:38, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.661e-05, 	653.25397035, 	0.187899%, 	0.190000%, 	-0.002101%
2020-04-08 12:52:41, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.665e-05, 	1155.1756299, 	2.653e-05, 	6.36699518, 	0.452318%, 	0.190000%, 	0.262318%
2020-04-08 12:52:56, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.665e-05, 	1155.1756299, 	2.653e-05, 	6.36699518, 	0.452318%, 	0.190000%, 	0.262318%
2020-04-08 12:53:11, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.665e-05, 	1155.1756299, 	2.653e-05, 	6.36699518, 	0.452318%, 	0.190000%, 	0.262318%
