2020-04-08 09:41:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:41:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:42:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 09:42:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:42:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:42:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:43:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:43:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:43:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:43:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:44:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:44:28, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:44:43, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:44:58, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:45:13, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002365, 	5250.0, 	0.00234, 	8750.0, 	1.068376%, 	0.350000%, 	0.718376%
2020-04-08 09:45:28, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:45:43, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:45:58, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:46:13, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:46:28, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:46:43, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:46:58, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:47:13, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:47:28, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 09:47:43, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
