2020-04-06 18:54:24 ,460 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,ETC/BTC   ,0.000777     ,257.401          ,0.0007727     ,1718.342          ,0.556490%   ,0.410000% ,0.146490%
2020-04-06 18:54:28 ,887 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,CVT/BTC   ,3.434e-06    ,22202.24020603   ,1.81e-06      ,70858.52607906    ,89.723757%  ,0.400000% ,89.323757%
2020-04-06 18:54:30 ,579 INFO ,   OPPORTUNITY ,Kraken       ,Binance      ,ETC/BTC   ,0.000777     ,0.42             ,0.0007729     ,54.0              ,0.530470%   ,0.360000% ,0.170470%
2020-04-06 18:55:14 ,203 INFO ,   OPPORTUNITY ,OKEX         ,Binance      ,GTO/ETH   ,5.99e-05     ,8050.0           ,2.963e-05     ,8342.0            ,102.159973% ,0.250000% ,101.909973%
2020-04-06 18:55:55 ,484 INFO ,   OPPORTUNITY ,Bitfinex     ,OKEX         ,XMR/BTC   ,0.0080136    ,3.0              ,0.00785       ,62.64414971       ,2.084076%   ,0.350000% ,1.734076%
2020-04-06 18:56:09 ,525 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,BLOC/BTC  ,1.4e-07      ,7933478.25429235 ,3e-08         ,51130.94672499    ,366.666667% ,0.400000% ,366.266667%
2020-04-06 18:56:22 ,759 INFO ,   OPPORTUNITY ,OKEX         ,Poloniex     ,NXT/BTC   ,1.55e-06     ,38621.16350769   ,1.31e-06      ,270.39870256      ,18.320611%  ,0.240000% ,18.080611%
2020-04-06 18:56:29 ,489 INFO ,   OPPORTUNITY ,OKEX         ,Bitfinex     ,KAN/USDT  ,0.00217      ,7420.0           ,0.002161      ,6790.0            ,0.416474%   ,0.350000% ,0.066474%
2020-04-06 18:56:58 ,154 INFO ,   OPPORTUNITY ,Kraken       ,Binance      ,ETC/BTC   ,0.000777     ,24.22            ,0.0007716     ,6.15              ,0.699844%   ,0.360000% ,0.339844%
2020-04-06 18:57:11 ,302 INFO ,   OPPORTUNITY ,Bittrex      ,Binance      ,GTO/BTC   ,1.28e-06     ,390.6328125      ,6.8e-07       ,1983.01982594     ,88.235294%  ,0.350000% ,87.885294%
2020-04-06 18:57:51 ,945 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008014     ,17.129           ,0.00785       ,17.163            ,2.089172%   ,0.410000% ,1.679172%
2020-04-06 18:58:34 ,236 INFO ,   OPPORTUNITY ,Kraken       ,Bittrex      ,ETC/BTC   ,0.000777     ,389.536573       ,0.00077236    ,193.17291438      ,0.600756%   ,0.510000% ,0.090756%
2020-04-06 18:58:37 ,517 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008012     ,22.938           ,0.00785       ,17.163            ,2.063694%   ,0.410000% ,1.653694%
2020-04-06 18:58:55 ,679 INFO ,   OPPORTUNITY ,Binance      ,Bittrex      ,NXS/BTC   ,2.234e-05    ,3730.0           ,2.218e-05     ,60866.87026378    ,0.721371%   ,0.350000% ,0.371371%
2020-04-06 19:00:54 ,742 INFO ,   OPPORTUNITY ,OKEX         ,Poloniex     ,NXT/BTC   ,1.55e-06     ,38621.16350769   ,1.31e-06      ,270.39870256      ,18.320611%  ,0.240000% ,18.080611%
2020-04-06 19:01:27 ,862 INFO ,   OPPORTUNITY ,Binance      ,OKEX         ,XMR/USDT  ,57.63        ,7.86551          ,56.49         ,27.88911          ,2.018056%   ,0.250000% ,1.768056%
