2020-04-09 19:12:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:13:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:13:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:13:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:13:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:14:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:14:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:14:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:14:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:15:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:15:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:15:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:15:56, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:16:11, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:16:26, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:16:41, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:16:56, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:17:11, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:17:26, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:17:41, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:17:56, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:18:11, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:18:26, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:18:41, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:18:56, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:19:11, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:19:26, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:19:41, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:19:56, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
