2020-04-08 18:31:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:31:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:31:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:32:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:32:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:32:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:32:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:33:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02175, 	686.161, 	0.533399%, 	0.460000%, 	0.073399%
2020-04-08 18:33:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	686.161, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:33:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	339.483, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:33:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	339.483, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:34:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	339.483, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:34:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	686.161, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:34:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	686.161, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:34:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	686.161, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:35:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02173, 	339.483, 	0.535366%, 	0.460000%, 	0.075366%
2020-04-08 18:35:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02171, 	686.161, 	0.537334%, 	0.460000%, 	0.077334%
2020-04-08 18:35:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02169, 	339.483, 	0.539303%, 	0.460000%, 	0.079303%
2020-04-08 18:35:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02169, 	339.483, 	0.539303%, 	0.460000%, 	0.079303%
2020-04-08 18:36:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02167, 	686.161, 	0.541271%, 	0.460000%, 	0.081271%
2020-04-08 18:36:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02167, 	686.161, 	0.541271%, 	0.460000%, 	0.081271%
2020-04-08 18:36:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0257, 	502.47185815, 	1.02167, 	339.483, 	0.394452%, 	0.460000%, 	-0.065548%
2020-04-08 18:56:38, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	519.671, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:56:53, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	627.34, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:57:08, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	627.34, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:57:23, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	627.34, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:57:38, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:57:53, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:58:08, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:58:23, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:59:35, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 18:59:50, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:00:05, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	595.987, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:00:20, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	595.987, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:00:35, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	595.987, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:00:50, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	595.987, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:01:05, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:01:20, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	595.987, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:01:35, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:01:50, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:02:05, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:02:20, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:02:35, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:02:50, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:03:05, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
2020-04-08 19:03:20, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0279, 	17.88600708, 	1.02165, 	215.506, 	0.611755%, 	0.460000%, 	0.151755%
