2020-04-07 22:27:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.07, 	0.002373, 	6555.4, 	0.025555, 	1.032279%, 	0.300000%, 	0.732279%
2020-04-07 22:27:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.120857, 	6567.4, 	0.025555, 	0.847824%, 	0.300000%, 	0.547824%
2020-04-07 22:28:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.120857, 	6567.4, 	0.025555, 	0.847824%, 	0.300000%, 	0.547824%
2020-04-07 22:28:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.120857, 	6565.5, 	0.025555, 	0.877009%, 	0.300000%, 	0.577009%
2020-04-07 22:29:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.120857, 	6564.5, 	0.025555, 	0.892376%, 	0.300000%, 	0.592376%
2020-04-07 22:29:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.104979, 	6564.5, 	0.025555, 	0.892376%, 	0.300000%, 	0.592376%
2020-04-07 22:30:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.104979, 	6564.5, 	0.025555, 	0.892376%, 	0.300000%, 	0.592376%
2020-04-07 22:30:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.104979, 	6567.1, 	0.025555, 	0.852431%, 	0.300000%, 	0.552431%
2020-04-07 22:31:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.104979, 	6564.9, 	0.025555, 	0.886228%, 	0.300000%, 	0.586228%
2020-04-07 22:31:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.034393, 	6565.2, 	0.01473, 	0.881618%, 	0.300000%, 	0.581618%
2020-04-07 22:32:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.034393, 	6566.1, 	0.01473, 	0.867791%, 	0.300000%, 	0.567791%
2020-04-07 22:32:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.034393, 	6572.5, 	0.01473, 	0.769570%, 	0.300000%, 	0.469570%
2020-04-07 22:33:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.034393, 	6572.3, 	0.01473, 	0.772637%, 	0.300000%, 	0.472637%
2020-04-07 22:33:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.034393, 	6575.6, 	0.01473, 	0.722063%, 	0.300000%, 	0.422063%
2020-04-07 22:34:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.08, 	0.034393, 	6578.9, 	0.01473, 	0.671541%, 	0.300000%, 	0.371541%
2020-04-07 22:34:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6630.96, 	0.034402, 	6598.0, 	5.494742, 	0.499545%, 	0.300000%, 	0.199545%
2020-04-07 22:35:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6625.95, 	0.034428, 	6594.4, 	0.043146, 	0.478436%, 	0.300000%, 	0.178436%
