2020-04-09 14:27:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	25.39608524, 	7.25e-05, 	337.50505951, 	0.593103%, 	0.340000%, 	0.253103%
2020-04-09 14:27:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	26.0802808, 	7.255e-05, 	132.39916299, 	0.523777%, 	0.340000%, 	0.183777%
2020-04-09 14:27:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	22.74319202, 	7.255e-05, 	132.39916299, 	0.523777%, 	0.340000%, 	0.183777%
2020-04-09 14:27:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	22.74319202, 	7.255e-05, 	4.53627964, 	0.523777%, 	0.340000%, 	0.183777%
2020-04-09 14:28:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.294e-05, 	24.03017975, 	7.255e-05, 	270.00786111, 	0.537560%, 	0.340000%, 	0.197560%
2020-04-09 14:28:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.292e-05, 	6.99396599, 	7.255e-05, 	270.00786111, 	0.509993%, 	0.340000%, 	0.169993%
2020-04-09 14:28:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	25.70006971, 	7.255e-05, 	270.00786111, 	0.523777%, 	0.340000%, 	0.183777%
2020-04-09 14:28:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.292e-05, 	6.99396599, 	7.255e-05, 	4.53627964, 	0.509993%, 	0.340000%, 	0.169993%
2020-04-09 14:29:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.294e-05, 	51.201582, 	7.255e-05, 	3.15654153, 	0.537560%, 	0.340000%, 	0.197560%
2020-04-09 14:29:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.295e-05, 	23.8028504, 	7.255e-05, 	3.15654153, 	0.551344%, 	0.340000%, 	0.211344%
2020-04-09 14:29:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.295e-05, 	25.16820436, 	7.255e-05, 	3.15654153, 	0.551344%, 	0.340000%, 	0.211344%
2020-04-09 14:29:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.295e-05, 	25.16820436, 	7.255e-05, 	3.15654153, 	0.551344%, 	0.340000%, 	0.211344%
2020-04-09 14:30:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.295e-05, 	25.70006971, 	7.255e-05, 	3.15654153, 	0.551344%, 	0.340000%, 	0.211344%
2020-04-09 14:30:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	26.38463423, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:30:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	26.5368725, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:30:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	26.5368725, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:31:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:31:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:31:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:31:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:32:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:32:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:32:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:32:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.296e-05, 	22.97009379, 	7.255e-05, 	3.15654153, 	0.565127%, 	0.340000%, 	0.225127%
2020-04-09 14:33:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:33:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:33:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:33:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:34:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
2020-04-09 14:34:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.297e-05, 	51.18490603, 	7.255e-05, 	3.15654153, 	0.578911%, 	0.340000%, 	0.238911%
