2020-04-10 01:08:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001047, 	4094.16970184, 	0.2828, 	98.211, 	2.549671%, 	0.400000%, 	2.149671%
2020-04-10 01:08:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001047, 	4094.16970184, 	0.2828, 	98.211, 	2.549671%, 	0.400000%, 	2.149671%
2020-04-10 01:08:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001047, 	4094.16970184, 	0.2828, 	98.211, 	2.549671%, 	0.400000%, 	2.149671%
2020-04-10 01:09:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001063, 	4017.82291568, 	0.2828, 	98.211, 	2.549728%, 	0.400000%, 	2.149728%
2020-04-10 01:09:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001063, 	4017.82291568, 	0.2828, 	98.211, 	2.549728%, 	0.400000%, 	2.149728%
2020-04-10 01:09:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001082, 	4017.82079135, 	0.2828, 	98.211, 	2.549795%, 	0.400000%, 	2.149795%
2020-04-10 01:09:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001097, 	3936.34376662, 	0.2828, 	98.211, 	2.549848%, 	0.400000%, 	2.149848%
2020-04-10 01:10:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001097, 	3936.34376662, 	0.2827, 	2.708, 	2.586123%, 	0.400000%, 	2.186123%
2020-04-10 01:10:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001097, 	3936.34376662, 	0.2827, 	2.708, 	2.586123%, 	0.400000%, 	2.186123%
2020-04-10 01:10:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001097, 	3936.34376662, 	0.2827, 	2.708, 	2.586123%, 	0.400000%, 	2.186123%
2020-04-10 01:10:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000002, 	3846.27767077, 	0.2827, 	2.708, 	2.582250%, 	0.400000%, 	2.182250%
2020-04-10 01:11:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001126, 	3846.15220023, 	0.2827, 	2.708, 	2.586226%, 	0.400000%, 	2.186226%
2020-04-10 01:11:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001152, 	3846.14929794, 	0.2827, 	2.708, 	2.586318%, 	0.400000%, 	2.186318%
2020-04-10 01:11:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001152, 	3846.14929794, 	0.2827, 	2.708, 	2.586318%, 	0.400000%, 	2.186318%
2020-04-10 01:11:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001152, 	3846.14929794, 	0.2827, 	2.708, 	2.586318%, 	0.400000%, 	2.186318%
2020-04-10 01:12:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900117, 	3846.14728867, 	0.2827, 	2.708, 	2.586381%, 	0.400000%, 	2.186381%
