2020-04-09 04:08:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:09:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:09:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:09:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:09:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:10:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:10:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:10:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:10:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:11:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:11:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:11:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:11:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:12:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:12:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:12:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:12:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
