2020-04-08 08:42:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00782, 	7.253, 	0.007561, 	16.929, 	3.425473%, 	0.410000%, 	3.015473%
2020-04-08 08:42:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007822, 	34.182, 	0.00756, 	23.931, 	3.465608%, 	0.410000%, 	3.055608%
2020-04-08 08:43:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	16.931, 	0.007559, 	23.931, 	3.558672%, 	0.410000%, 	3.148672%
2020-04-08 08:43:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007822, 	46.087, 	0.007558, 	7.0, 	3.492988%, 	0.410000%, 	3.082988%
2020-04-08 08:44:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007822, 	28.834, 	0.007556, 	16.937, 	3.520381%, 	0.410000%, 	3.110381%
2020-04-08 08:44:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007832, 	24.166, 	0.007555, 	14.0, 	3.666446%, 	0.410000%, 	3.256446%
2020-04-08 08:45:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007832, 	16.914, 	0.007553, 	14.0, 	3.693896%, 	0.410000%, 	3.283896%
2020-04-08 08:45:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007837, 	34.198, 	0.00755, 	14.0, 	3.801325%, 	0.410000%, 	3.391325%
2020-04-08 08:46:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007832, 	34.204, 	0.007548, 	14.0, 	3.762586%, 	0.410000%, 	3.352586%
2020-04-08 08:46:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007832, 	41.204, 	0.007548, 	14.0, 	3.762586%, 	0.410000%, 	3.352586%
2020-04-08 08:47:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007832, 	34.204, 	0.007544, 	14.0, 	3.817603%, 	0.410000%, 	3.407603%
2020-04-08 08:47:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007832, 	16.952, 	0.007544, 	16.941, 	3.817603%, 	0.410000%, 	3.407603%
2020-04-08 08:48:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00783, 	16.949, 	0.007544, 	16.949, 	3.791092%, 	0.410000%, 	3.381092%
2020-04-08 08:48:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007822, 	16.944, 	0.007544, 	195.471, 	3.685048%, 	0.410000%, 	3.275048%
2020-04-08 08:49:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007825, 	16.944, 	0.007543, 	195.471, 	3.738566%, 	0.410000%, 	3.328566%
2020-04-08 08:49:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007825, 	16.944, 	0.007543, 	212.199, 	3.738566%, 	0.410000%, 	3.328566%
2020-04-08 08:50:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007825, 	16.944, 	0.007543, 	214.133, 	3.738566%, 	0.410000%, 	3.328566%
2020-04-08 08:50:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007825, 	16.944, 	0.007542, 	195.44, 	3.752320%, 	0.410000%, 	3.342320%
2020-04-08 09:35:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007808, 	0.321, 	0.007557, 	29.736, 	3.321424%, 	0.410000%, 	2.911424%
2020-04-08 09:36:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007808, 	0.321, 	0.007557, 	29.736, 	3.321424%, 	0.410000%, 	2.911424%
2020-04-08 09:36:24, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007808, 	1.241, 	0.007557, 	16.988, 	3.321424%, 	0.410000%, 	2.911424%
2020-04-08 09:36:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007822, 	8.173, 	0.007584, 	187.689, 	3.138186%, 	0.410000%, 	2.728186%
2020-04-08 09:36:54, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00782, 	0.921, 	0.007584, 	213.503, 	3.111814%, 	0.410000%, 	2.701814%
