2020-04-10 02:22:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:22:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:23:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:23:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:23:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:23:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:24:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:24:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:24:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:24:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:25:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:25:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:25:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:25:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:26:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	27600.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:26:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	27600.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:26:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	27600.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:26:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	27600.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:27:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	27600.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:27:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:27:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:27:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:28:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:28:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:28:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:28:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	5100.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:29:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	5100.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:29:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	24000.0, 	0.257069%, 	0.240000%, 	0.017069%
