2020-04-08 19:08:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.323, 	80.0, 	1.221116%, 	0.760000%, 	0.461116%
2020-04-08 19:08:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.327, 	212.289, 	1.145110%, 	0.760000%, 	0.385110%
2020-04-08 19:09:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.327, 	240.0, 	1.145110%, 	0.760000%, 	0.385110%
2020-04-08 19:09:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.389, 	598.0, 	5.32, 	80.0, 	1.296992%, 	0.760000%, 	0.536992%
2020-04-08 19:09:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.389, 	623.9, 	5.32, 	372.289, 	1.296992%, 	0.760000%, 	0.536992%
2020-04-08 19:09:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.394, 	434.827, 	5.32, 	372.289, 	1.390977%, 	0.760000%, 	0.630977%
2020-04-08 19:10:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.398, 	353.215, 	5.331, 	189.0, 	1.256800%, 	0.760000%, 	0.496800%
2020-04-08 19:10:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.399, 	970.608, 	5.32, 	372.289, 	1.484962%, 	0.760000%, 	0.724962%
2020-04-08 19:10:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.32, 	372.289, 	1.278195%, 	0.760000%, 	0.518195%
2020-04-08 19:10:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.32, 	401.289, 	1.278195%, 	0.760000%, 	0.518195%
2020-04-08 19:11:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.327, 	80.0, 	1.145110%, 	0.760000%, 	0.385110%
2020-04-08 19:11:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.324, 	80.0, 	1.202104%, 	0.760000%, 	0.442104%
2020-04-08 19:11:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.324, 	80.0, 	1.202104%, 	0.760000%, 	0.442104%
2020-04-08 19:11:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.322, 	269.0, 	1.240135%, 	0.760000%, 	0.480135%
