2020-04-08 15:12:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1816, 	182.0, 	0.495595%, 	0.360000%, 	0.135595%
2020-04-08 15:12:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18163, 	182.0, 	0.478996%, 	0.360000%, 	0.118996%
2020-04-08 15:12:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18161, 	182.0, 	0.490061%, 	0.360000%, 	0.130061%
2020-04-08 15:13:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18175, 	182.0, 	0.412655%, 	0.360000%, 	0.052655%
2020-04-08 15:13:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18171, 	182.0, 	0.434759%, 	0.360000%, 	0.074759%
2020-04-08 15:13:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18165, 	182.0, 	0.467933%, 	0.360000%, 	0.107933%
2020-04-08 15:13:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18167, 	182.0, 	0.456872%, 	0.360000%, 	0.096872%
2020-04-08 15:14:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18166, 	182.0, 	0.462402%, 	0.360000%, 	0.102402%
2020-04-08 15:14:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18167, 	182.0, 	0.456872%, 	0.360000%, 	0.096872%
2020-04-08 15:14:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18161, 	182.0, 	0.490061%, 	0.360000%, 	0.130061%
2020-04-08 15:14:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1816, 	182.0, 	0.495595%, 	0.360000%, 	0.135595%
2020-04-08 15:15:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18161, 	182.0, 	0.490061%, 	0.360000%, 	0.130061%
2020-04-08 15:15:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18161, 	182.0, 	0.490061%, 	0.360000%, 	0.130061%
2020-04-08 15:15:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18173, 	182.0, 	0.423705%, 	0.360000%, 	0.063705%
2020-04-08 15:15:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18174, 	182.0, 	0.418180%, 	0.360000%, 	0.058180%
2020-04-08 15:16:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18191, 	182.0, 	0.324336%, 	0.360000%, 	-0.035664%
2020-04-08 21:59:38, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18522, 	46673.67, 	0.475111%, 	0.360000%, 	0.115111%
2020-04-08 21:59:53, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18522, 	46673.67, 	0.475111%, 	0.360000%, 	0.115111%
2020-04-08 22:00:08, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18522, 	46673.67, 	0.475111%, 	0.360000%, 	0.115111%
2020-04-08 22:00:23, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18538, 	2400.0, 	0.388391%, 	0.360000%, 	0.028391%
2020-04-08 22:00:38, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18538, 	48520.431, 	0.388391%, 	0.360000%, 	0.028391%
2020-04-08 22:00:53, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18538, 	48520.431, 	0.388391%, 	0.360000%, 	0.028391%
2020-04-08 22:01:08, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1861, 	110.0, 	0.18546, 	49647.352, 	0.345088%, 	0.360000%, 	-0.014912%
2020-04-09 04:37:50, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.18409, 	64.4, 	0.18294, 	10000.0, 	0.628621%, 	0.360000%, 	0.268621%
