2020-04-08 18:52:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	76.306, 	0.00079115, 	100.207, 	0.739430%, 	0.510000%, 	0.229430%
2020-04-08 18:52:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	29.3, 	0.00079104, 	100.188, 	0.753439%, 	0.510000%, 	0.243439%
2020-04-08 18:53:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079091, 	100.167, 	0.643562%, 	0.510000%, 	0.133562%
2020-04-08 18:53:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079087, 	100.2, 	0.775096%, 	0.510000%, 	0.265096%
2020-04-08 18:53:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079072, 	249.426102, 	0.794213%, 	0.510000%, 	0.284213%
2020-04-08 18:53:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079054, 	100.254, 	0.817163%, 	0.510000%, 	0.307163%
2020-04-08 18:54:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079036, 	100.265, 	0.713599%, 	0.510000%, 	0.203599%
2020-04-08 18:54:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079036, 	302.35094496, 	0.713599%, 	0.510000%, 	0.203599%
2020-04-08 18:54:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079032, 	100.221, 	0.718696%, 	0.510000%, 	0.208696%
2020-04-08 18:54:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
2020-04-08 18:55:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079031, 	100.23, 	0.719971%, 	0.510000%, 	0.209971%
