2020-04-09 14:19:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:19:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:19:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:20:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:20:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:20:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:20:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:21:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:21:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:21:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:21:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:22:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:22:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:22:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:22:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:23:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:23:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:23:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:23:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:24:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:24:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:24:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:24:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:25:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:25:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:25:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:25:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:26:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:26:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:26:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:26:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	15392.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:27:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	26267.0, 	1.7e-06, 	437.9570976, 	0.000000%, 	0.350000%, 	-0.350000%
