2020-04-07 23:09:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.79397349, 	96.306188, 	54.53, 	6.0, 	2.317941%, 	0.400000%, 	1.917941%
2020-04-07 23:09:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64423714, 	9.62038817, 	54.53, 	101.93877541, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:10:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64423715, 	5.14601826, 	54.53, 	107.45220626, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:10:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64423713, 	16.67540317, 	54.53, 	97.093164, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:11:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.49169554, 	103.43166376, 	54.49, 	161.36585176, 	1.838311%, 	0.400000%, 	1.438311%
2020-04-07 23:11:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.49169562, 	102.74305976, 	54.49, 	101.66096776, 	1.838311%, 	0.400000%, 	1.438311%
2020-04-07 23:12:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855004, 	4.487, 	54.49, 	96.306188, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:12:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855003, 	62.0, 	54.49, 	9.0536, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:13:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855003, 	62.0, 	54.49, 	96.40456, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:13:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855005, 	4.484, 	54.49, 	10.485, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:14:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855006, 	4.484, 	54.49, 	101.773908, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:15:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855006, 	4.484, 	54.49, 	102.306188, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:15:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855003, 	62.0, 	54.49, 	6.0, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:16:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64855003, 	0.00074, 	54.49, 	96.306188, 	2.126170%, 	0.400000%, 	1.726170%
2020-04-07 23:16:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413006, 	10.5870246, 	54.49, 	96.306188, 	1.677611%, 	0.400000%, 	1.277611%
2020-04-07 23:17:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.4041301, 	32.61529413, 	54.46, 	98.076884, 	1.733621%, 	0.400000%, 	1.333621%
2020-04-07 23:17:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413019, 	4.503, 	54.44, 	6.0, 	1.770996%, 	0.400000%, 	1.370996%
2020-04-07 23:18:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.37808879, 	39.7485043, 	54.44, 	11.15803576, 	1.723161%, 	0.400000%, 	1.323161%
2020-04-07 23:18:30, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.4041303, 	4.503, 	54.44, 	11.15803576, 	1.770996%, 	0.400000%, 	1.370996%
2020-04-07 23:19:00, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.40413042, 	4.502, 	54.44, 	6.0, 	1.770996%, 	0.400000%, 	1.370996%
