2020-04-07 23:10:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077585, 	4.52510159, 	0.0076, 	6.22524285, 	2.085526%, 	0.350000%, 	1.735526%
2020-04-07 23:11:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077494, 	4.91330203, 	0.0076, 	7.0, 	1.965789%, 	0.350000%, 	1.615789%
2020-04-07 23:11:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077412, 	4.44200547, 	0.0076, 	7.0, 	1.857895%, 	0.350000%, 	1.507895%
2020-04-07 23:12:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077459, 	4.69366136, 	0.0076, 	7.0, 	1.919737%, 	0.350000%, 	1.569737%
2020-04-07 23:12:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077489, 	4.7264432, 	0.0076, 	7.0, 	1.959211%, 	0.350000%, 	1.609211%
2020-04-07 23:13:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077507, 	4.53971328, 	0.0076, 	7.0, 	1.982895%, 	0.350000%, 	1.632895%
2020-04-07 23:13:55, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077518, 	4.58623332, 	0.0076, 	5.6612877, 	1.997368%, 	0.350000%, 	1.647368%
2020-04-07 23:14:25, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077556, 	4.38496642, 	0.0076, 	5.38211368, 	2.047368%, 	0.350000%, 	1.697368%
2020-04-07 23:14:55, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077555, 	4.34862887, 	0.0076, 	7.0, 	2.046053%, 	0.350000%, 	1.696053%
2020-04-07 23:15:25, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077585, 	3.64996045, 	0.0076, 	5.38211368, 	2.085526%, 	0.350000%, 	1.735526%
2020-04-07 23:15:55, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077563, 	4.88915994, 	0.0076, 	5.94049032, 	2.056579%, 	0.350000%, 	1.706579%
2020-04-07 23:16:25, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077412, 	4.90117618, 	0.0076, 	7.0, 	1.857895%, 	0.350000%, 	1.507895%
2020-04-07 23:16:55, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077435, 	4.90129599, 	0.0076, 	7.0, 	1.888158%, 	0.350000%, 	1.538158%
2020-04-07 23:17:25, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077441, 	4.90202561, 	0.0076, 	7.0, 	1.896053%, 	0.350000%, 	1.546053%
2020-04-07 23:17:55, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077453, 	2.84644564, 	0.0076, 	7.0, 	1.911842%, 	0.350000%, 	1.561842%
2020-04-07 23:18:25, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077452, 	3.0, 	0.0076, 	7.0, 	1.910526%, 	0.350000%, 	1.560526%
