2020-04-10 10:24:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:24:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:25:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:25:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:25:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:25:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:26:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:26:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:26:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:26:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:27:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:27:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51511.66066352, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:27:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51111.72251861, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:27:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51608.46620019, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:28:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51504.42614859, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:28:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51060.38260933, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:28:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:28:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51130.02626305, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:29:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:29:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:29:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:29:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:30:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:30:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:30:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:30:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51331.77773392, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:31:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	51278.77510692, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:31:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33748.218, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:31:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	40506.74591671, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:31:51, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33748.218, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:32:06, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33748.218, 	1.287554%, 	0.290000%, 	0.997554%
