2020-04-10 02:26:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:27:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:27:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:27:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:27:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:28:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	93179.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:28:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005443, 	65483.0, 	1.047217%, 	0.250000%, 	0.797217%
2020-04-10 02:28:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005441, 	118163.0, 	1.084359%, 	0.250000%, 	0.834359%
2020-04-10 02:28:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005439, 	118163.0, 	1.121530%, 	0.250000%, 	0.871530%
2020-04-10 02:29:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:29:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:29:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:29:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:30:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:30:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:30:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:30:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:31:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:31:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:31:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:31:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005446, 	118163.0, 	0.991553%, 	0.250000%, 	0.741553%
2020-04-10 02:32:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
