2020-04-08 18:43:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079315, 	132.45751, 	0.863645%, 	0.350000%, 	0.513645%
2020-04-08 18:44:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079272, 	252.67215929, 	0.918357%, 	0.350000%, 	0.568357%
2020-04-08 18:44:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079251, 	98.22756, 	0.945098%, 	0.350000%, 	0.595098%
2020-04-08 18:44:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079242, 	97.63404, 	0.956563%, 	0.350000%, 	0.606563%
2020-04-08 18:44:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079242, 	97.63404, 	0.956563%, 	0.350000%, 	0.606563%
2020-04-08 18:45:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079239, 	132.45751, 	0.960386%, 	0.350000%, 	0.610386%
2020-04-08 18:45:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079233, 	132.45751, 	0.968031%, 	0.350000%, 	0.618031%
2020-04-08 18:45:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079246, 	252.70396919, 	0.951468%, 	0.350000%, 	0.601468%
2020-04-08 18:45:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079372, 	252.60666517, 	0.791211%, 	0.350000%, 	0.441211%
2020-04-08 18:46:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079312, 	97.33728, 	0.867460%, 	0.350000%, 	0.517460%
2020-04-08 18:46:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079304, 	98.4254, 	0.877635%, 	0.350000%, 	0.527635%
2020-04-08 18:46:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079304, 	230.99347, 	0.877635%, 	0.350000%, 	0.527635%
2020-04-08 18:46:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079304, 	230.99347, 	0.877635%, 	0.350000%, 	0.527635%
2020-04-08 18:47:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.000793, 	132.56807, 	0.882724%, 	0.350000%, 	0.532724%
2020-04-08 18:47:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079294, 	97.4362, 	0.890357%, 	0.350000%, 	0.540357%
2020-04-08 18:47:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079308, 	97.9308, 	0.872548%, 	0.350000%, 	0.522548%
2020-04-08 18:47:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079316, 	252.5663214, 	0.862373%, 	0.350000%, 	0.512373%
2020-04-08 18:48:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079311, 	98.62324, 	0.868732%, 	0.350000%, 	0.518732%
2020-04-08 18:48:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079307, 	132.56807, 	0.873819%, 	0.350000%, 	0.523819%
2020-04-08 18:48:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079281, 	80.0, 	1.033034%, 	0.350000%, 	0.683034%
2020-04-08 18:48:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079229, 	252.96993802, 	1.099345%, 	0.350000%, 	0.749345%
2020-04-08 18:49:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079209, 	132.56807, 	1.124872%, 	0.350000%, 	0.774872%
2020-04-08 18:49:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079169, 	98.52432, 	1.049653%, 	0.350000%, 	0.699653%
2020-04-08 18:49:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079119, 	80.0, 	1.113513%, 	0.350000%, 	0.763513%
2020-04-08 18:49:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079112, 	80.0, 	1.122459%, 	0.350000%, 	0.772459%
2020-04-08 18:50:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	85.31, 	0.00079125, 	253.04215197, 	0.853081%, 	0.350000%, 	0.503081%
2020-04-08 18:50:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	85.31, 	0.00079122, 	96.74376, 	0.856905%, 	0.350000%, 	0.506905%
2020-04-08 18:50:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079167, 	97.73296, 	0.799576%, 	0.350000%, 	0.449576%
