2020-04-07 23:03:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33415, 	1.174, 	0.329, 	1.165, 	1.565350%, 	0.250000%, 	1.315350%
2020-04-07 23:04:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33419, 	1.175, 	0.329, 	2.696, 	1.577508%, 	0.250000%, 	1.327508%
2020-04-07 23:04:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33425, 	1.178, 	0.329, 	3.052, 	1.595745%, 	0.250000%, 	1.345745%
2020-04-07 23:05:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33438, 	1.178, 	0.329, 	3.056, 	1.635258%, 	0.250000%, 	1.385258%
2020-04-07 23:05:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33445, 	1.181, 	0.329, 	2.696, 	1.656535%, 	0.250000%, 	1.406535%
2020-04-07 23:06:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33465, 	1.182, 	0.329, 	0.041, 	1.717325%, 	0.250000%, 	1.467325%
2020-04-07 23:06:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33441, 	4.489, 	0.329, 	1.181, 	1.644377%, 	0.250000%, 	1.394377%
2020-04-07 23:07:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33464, 	3.721, 	0.329, 	3.061, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-07 23:07:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33475, 	1.179, 	0.329, 	0.041, 	1.747720%, 	0.250000%, 	1.497720%
2020-04-07 23:08:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33432, 	10.237, 	0.329, 	4.424, 	1.617021%, 	0.250000%, 	1.367021%
2020-04-07 23:08:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33459, 	1.179, 	0.329, 	0.041, 	1.699088%, 	0.250000%, 	1.449088%
2020-04-07 23:09:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33441, 	1.179, 	0.329, 	0.041, 	1.644377%, 	0.250000%, 	1.394377%
2020-04-07 23:09:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33464, 	8.94, 	0.329, 	0.041, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-07 23:10:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33363, 	3.845, 	0.329, 	3.21, 	1.407295%, 	0.250000%, 	1.157295%
2020-04-07 23:10:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33364, 	0.06, 	0.329, 	3.21, 	1.410334%, 	0.250000%, 	1.160334%
2020-04-07 23:11:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33333, 	4.324, 	0.329, 	6.143, 	1.316109%, 	0.250000%, 	1.066109%
2020-04-07 23:11:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33333, 	2.504, 	0.329, 	1.185, 	1.316109%, 	0.250000%, 	1.066109%
2020-04-07 23:12:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33336, 	1.184, 	0.329, 	1.183, 	1.325228%, 	0.250000%, 	1.075228%
2020-04-07 23:12:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33379, 	0.105, 	0.329, 	1.18, 	1.455927%, 	0.250000%, 	1.205927%
2020-04-07 23:13:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33379, 	0.105, 	0.329, 	1.183, 	1.455927%, 	0.250000%, 	1.205927%
2020-04-07 23:13:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3338, 	8.667, 	0.329, 	28.542, 	1.458967%, 	0.250000%, 	1.208967%
2020-04-07 23:14:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3338, 	4.601, 	0.329, 	1.183, 	1.458967%, 	0.250000%, 	1.208967%
2020-04-07 23:14:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33379, 	0.105, 	0.329, 	0.439, 	1.455927%, 	0.250000%, 	1.205927%
2020-04-07 23:15:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33379, 	0.105, 	0.329, 	1.183, 	1.455927%, 	0.250000%, 	1.205927%
2020-04-07 23:15:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33379, 	0.105, 	0.329, 	15.288, 	1.455927%, 	0.250000%, 	1.205927%
2020-04-07 23:16:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3333, 	1.447, 	0.329, 	3.736, 	1.306991%, 	0.250000%, 	1.056991%
2020-04-07 23:16:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33323, 	1.185, 	0.329, 	1.185, 	1.285714%, 	0.250000%, 	1.035714%
2020-04-07 23:17:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33325, 	1.178, 	0.329, 	1.185, 	1.291793%, 	0.250000%, 	1.041793%
2020-04-07 23:17:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33325, 	1.178, 	0.329, 	1.185, 	1.291793%, 	0.250000%, 	1.041793%
2020-04-07 23:18:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33336, 	7.597, 	0.329, 	28.55, 	1.325228%, 	0.250000%, 	1.075228%
2020-04-07 23:18:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33351, 	1.179, 	0.329, 	1.179, 	1.370821%, 	0.250000%, 	1.120821%
2020-04-07 23:19:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33336, 	2.579, 	0.329, 	3.103, 	1.325228%, 	0.250000%, 	1.075228%
2020-04-07 23:19:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33346, 	5.139, 	0.329, 	1.18, 	1.355623%, 	0.250000%, 	1.105623%
2020-04-07 23:20:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33346, 	1.18, 	0.329, 	1.18, 	1.355623%, 	0.250000%, 	1.105623%
2020-04-07 23:20:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33345, 	1.18, 	0.329, 	1.183, 	1.352584%, 	0.250000%, 	1.102584%
2020-04-07 23:21:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33341, 	1.183, 	0.329, 	1.183, 	1.340426%, 	0.250000%, 	1.090426%
2020-04-07 23:21:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3335, 	6.527, 	0.329, 	1.18, 	1.367781%, 	0.250000%, 	1.117781%
2020-04-07 23:22:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33356, 	3.317, 	0.329, 	28.561, 	1.386018%, 	0.250000%, 	1.136018%
2020-04-07 23:22:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33356, 	3.317, 	0.329, 	1.178, 	1.386018%, 	0.250000%, 	1.136018%
2020-04-07 23:23:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33358, 	3.21, 	0.329, 	1.178, 	1.392097%, 	0.250000%, 	1.142097%
2020-04-07 23:23:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33357, 	1.177, 	0.329, 	1.178, 	1.389058%, 	0.250000%, 	1.139058%
2020-04-07 23:24:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33359, 	1.178, 	0.329, 	1.178, 	1.395137%, 	0.250000%, 	1.145137%
2020-04-07 23:24:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33362, 	3.21, 	0.329, 	28.541, 	1.404255%, 	0.250000%, 	1.154255%
2020-04-07 23:25:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33387, 	3.21, 	0.329, 	0.439, 	1.480243%, 	0.250000%, 	1.230243%
2020-04-07 23:25:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33403, 	3.317, 	0.329, 	0.439, 	1.528875%, 	0.250000%, 	1.278875%
2020-04-07 23:26:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33417, 	3.317, 	0.329, 	0.439, 	1.571429%, 	0.250000%, 	1.321429%
2020-04-07 23:26:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33383, 	7.64, 	0.329, 	0.439, 	1.468085%, 	0.250000%, 	1.218085%
2020-04-07 23:27:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33385, 	1.173, 	0.329, 	0.439, 	1.474164%, 	0.250000%, 	1.224164%
2020-04-07 23:27:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33394, 	3.317, 	0.329, 	0.439, 	1.501520%, 	0.250000%, 	1.251520%
2020-04-07 23:28:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33423, 	3.21, 	0.329, 	1.596, 	1.589666%, 	0.250000%, 	1.339666%
2020-04-07 23:28:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	3.317, 	0.329, 	28.453, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:29:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	3.317, 	0.329, 	3.424, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:29:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	3.317, 	0.329, 	3.424, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:30:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	3.317, 	0.329, 	28.47, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:30:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	3.317, 	0.329, 	28.476, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:31:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	3.317, 	0.329, 	6.538, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:31:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33427, 	5.564, 	0.329, 	28.378, 	1.601824%, 	0.250000%, 	1.351824%
2020-04-07 23:32:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33376, 	1.169, 	0.329, 	12.882, 	1.446809%, 	0.250000%, 	1.196809%
2020-04-07 23:32:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33374, 	1.168, 	0.329, 	12.891, 	1.440729%, 	0.250000%, 	1.190729%
2020-04-07 23:33:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33339, 	1.166, 	0.329, 	4.751, 	1.334347%, 	0.250000%, 	1.084347%
2020-04-07 23:33:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33359, 	1.163, 	0.329, 	5.914, 	1.395137%, 	0.250000%, 	1.145137%
2020-04-07 23:34:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33359, 	1.164, 	0.329, 	6.533, 	1.395137%, 	0.250000%, 	1.145137%
2020-04-07 23:34:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33398, 	0.03, 	0.329, 	28.499, 	1.513678%, 	0.250000%, 	1.263678%
2020-04-07 23:35:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.334, 	1.165, 	0.329, 	15.3, 	1.519757%, 	0.250000%, 	1.269757%
2020-04-07 23:35:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33412, 	8.963, 	0.329, 	28.469, 	1.556231%, 	0.250000%, 	1.306231%
2020-04-07 23:36:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33412, 	1.166, 	0.329, 	28.471, 	1.556231%, 	0.250000%, 	1.306231%
2020-04-07 23:36:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33407, 	10.118, 	0.329, 	3.424, 	1.541033%, 	0.250000%, 	1.291033%
2020-04-07 23:37:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3348, 	48.084, 	0.329, 	3.103, 	1.762918%, 	0.250000%, 	1.512918%
2020-04-07 23:37:42, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3348, 	16.176, 	0.329, 	3.103, 	1.762918%, 	0.250000%, 	1.512918%
2020-04-07 23:38:12, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33493, 	1.163, 	0.329, 	3.103, 	1.802432%, 	0.250000%, 	1.552432%
