2020-04-10 14:21:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.0, 	126.63, 	73.69568961, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:21:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	3.017, 	126.59, 	406.84933856, 	0.679359%, 	0.460000%, 	0.219359%
2020-04-10 14:21:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.63, 	31.1654, 	0.647556%, 	0.460000%, 	0.187556%
2020-04-10 14:21:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.558, 	126.63, 	104.65424097, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:22:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.63, 	31.1654, 	0.647556%, 	0.460000%, 	0.187556%
2020-04-10 14:22:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.76, 	25.0, 	0.544336%, 	0.460000%, 	0.084336%
2020-04-10 14:22:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.658, 	126.63, 	127.49888959, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:22:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.658, 	126.63, 	148.88999946, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:23:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.658, 	126.63, 	30.8325, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:23:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.63, 	95.38999946, 	0.647556%, 	0.460000%, 	0.187556%
2020-04-10 14:23:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.658, 	126.63, 	115.98141907, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:23:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.658, 	126.63, 	94.38999946, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:24:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.658, 	126.63, 	341.19294821, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:24:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.63, 	32.2655, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:24:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.63, 	353.53571555, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:24:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.63, 	426.53571555, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:25:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.63, 	454.7642926, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:25:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.63, 	50.24499946, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:25:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.63, 	31.2655, 	0.639659%, 	0.460000%, 	0.179659%
2020-04-10 14:25:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.77, 	106.1653, 	0.536405%, 	0.460000%, 	0.076405%
2020-04-10 14:26:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.74, 	6.0, 	0.560202%, 	0.460000%, 	0.100202%
2020-04-10 14:26:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.69, 	31.1653, 	0.599889%, 	0.460000%, 	0.139889%
2020-04-10 14:26:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.82, 	7.0448436, 	0.496767%, 	0.460000%, 	0.036767%
2020-04-10 14:26:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.8, 	1.0448436, 	0.512618%, 	0.460000%, 	0.052618%
2020-04-10 14:27:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.72, 	25.589, 	0.576073%, 	0.460000%, 	0.116073%
2020-04-10 14:27:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.72, 	25.589, 	0.576073%, 	0.460000%, 	0.116073%
2020-04-10 14:27:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.72, 	26.6338436, 	0.576073%, 	0.460000%, 	0.116073%
2020-04-10 14:27:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.71, 	31.0008, 	0.584011%, 	0.460000%, 	0.124011%
2020-04-10 14:28:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	6.06, 	126.81, 	31.0008, 	0.599322%, 	0.460000%, 	0.139322%
2020-04-10 14:28:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.75, 	1.29701685, 	0.552268%, 	0.460000%, 	0.092268%
2020-04-10 14:28:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.73, 	32.29781685, 	0.568137%, 	0.460000%, 	0.108137%
2020-04-10 14:28:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.5, 	6.06, 	126.77, 	32.9806, 	0.575846%, 	0.460000%, 	0.115846%
2020-04-10 14:29:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	6.06, 	126.77, 	1.5, 	0.631064%, 	0.460000%, 	0.171064%
2020-04-10 14:29:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	6.06, 	126.85, 	1.29701685, 	0.567600%, 	0.460000%, 	0.107600%
2020-04-10 14:29:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	6.06, 	126.85, 	30.7456, 	0.567600%, 	0.460000%, 	0.107600%
2020-04-10 14:29:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	6.06, 	126.84, 	31.0426, 	0.575528%, 	0.460000%, 	0.115528%
2020-04-10 14:30:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	6.06, 	126.83, 	26.578, 	0.583458%, 	0.460000%, 	0.123458%
2020-04-10 14:30:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.78, 	0.9077666, 	0.528475%, 	0.460000%, 	0.068475%
2020-04-10 14:30:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.72, 	31.75793327, 	0.576073%, 	0.460000%, 	0.116073%
2020-04-10 14:30:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.44, 	1.581, 	126.72, 	31.75793327, 	0.568182%, 	0.460000%, 	0.108182%
2020-04-10 14:31:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.72, 	31.75793327, 	0.576073%, 	0.460000%, 	0.116073%
2020-04-10 14:31:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.72, 	0.91213327, 	0.576073%, 	0.460000%, 	0.116073%
2020-04-10 14:31:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	31.7604304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:31:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	35.27766938, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:32:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.47, 	6.06, 	126.7, 	31.7604304, 	0.607735%, 	0.460000%, 	0.147735%
2020-04-10 14:32:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	31.7604304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:32:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	31.6904304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:32:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.46, 	0.894, 	126.7, 	0.7046304, 	0.599842%, 	0.460000%, 	0.139842%
2020-04-10 14:33:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	0.7046304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:33:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	13.7046304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:33:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	0.7046304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:33:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	31.5504304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:34:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	31.5504304, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:34:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	35.15121717, 	0.591949%, 	0.460000%, 	0.131949%
2020-04-10 14:34:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.45, 	6.06, 	126.7, 	34.96020861, 	0.591949%, 	0.460000%, 	0.131949%
