2020-04-07 22:49:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.99, 	5.00356, 	54.41, 	6.5, 	2.903878%, 	0.250000%, 	2.653878%
2020-04-07 22:49:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.99, 	1.41122, 	54.5, 	6.5, 	2.733945%, 	0.250000%, 	2.483945%
2020-04-07 22:50:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.03, 	17.8444, 	54.53, 	19.01689, 	2.750779%, 	0.250000%, 	2.500779%
2020-04-07 22:50:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.0, 	3.98553, 	54.53, 	9.5153, 	2.695764%, 	0.250000%, 	2.445764%
2020-04-07 22:51:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.01, 	5.81749, 	54.53, 	8.58217, 	2.714102%, 	0.250000%, 	2.464102%
2020-04-07 22:51:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.05, 	6.32338, 	54.53, 	3.26246, 	2.787456%, 	0.250000%, 	2.537456%
2020-04-07 22:52:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.05, 	24.52135, 	54.53, 	3.62324, 	2.787456%, 	0.250000%, 	2.537456%
2020-04-07 22:52:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.05, 	6.78979, 	54.53, 	3.62324, 	2.787456%, 	0.250000%, 	2.537456%
2020-04-07 22:53:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.05, 	6.54116, 	54.53, 	3.62324, 	2.787456%, 	0.250000%, 	2.537456%
2020-04-07 22:53:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.05, 	4.90128, 	54.53, 	6.73045, 	2.787456%, 	0.250000%, 	2.537456%
2020-04-07 22:54:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.05, 	6.27147, 	54.53, 	1.76283, 	2.787456%, 	0.250000%, 	2.537456%
2020-04-07 22:54:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.03, 	42.12125, 	54.53, 	5.90687, 	2.750779%, 	0.250000%, 	2.500779%
2020-04-07 22:55:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.03, 	35.57, 	54.53, 	5.90687, 	2.750779%, 	0.250000%, 	2.500779%
2020-04-07 22:55:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.94, 	34.391, 	54.53, 	5.90687, 	2.585733%, 	0.250000%, 	2.335733%
2020-04-07 22:56:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.94, 	26.697, 	54.53, 	6.18671, 	2.585733%, 	0.250000%, 	2.335733%
2020-04-07 22:56:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.94, 	26.662, 	54.53, 	29.96309, 	2.585733%, 	0.250000%, 	2.335733%
2020-04-07 22:57:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.94, 	27.32428, 	54.53, 	14.57513, 	2.585733%, 	0.250000%, 	2.335733%
2020-04-07 22:57:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.94, 	26.697, 	54.53, 	6.5514, 	2.585733%, 	0.250000%, 	2.335733%
2020-04-07 22:58:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.94, 	26.697, 	54.53, 	21.66364, 	2.585733%, 	0.250000%, 	2.335733%
2020-04-07 22:58:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.92, 	47.96072, 	54.53, 	21.60676, 	2.549056%, 	0.250000%, 	2.299056%
2020-04-07 22:59:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.88, 	71.52817, 	54.53, 	6.22124, 	2.475701%, 	0.250000%, 	2.225701%
2020-04-07 22:59:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.85, 	25.28361, 	54.53, 	21.44219, 	2.420686%, 	0.250000%, 	2.170686%
2020-04-07 23:00:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.85, 	4.45317, 	54.53, 	63.43565, 	2.420686%, 	0.250000%, 	2.170686%
2020-04-07 23:00:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.85, 	20.94985, 	54.53, 	75.39102, 	2.420686%, 	0.250000%, 	2.170686%
2020-04-07 23:01:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.87, 	15.19478, 	54.53, 	3.31514, 	2.457363%, 	0.250000%, 	2.207363%
2020-04-07 23:01:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.84, 	53.82794, 	54.53, 	0.44894, 	2.402347%, 	0.250000%, 	2.152347%
2020-04-07 23:02:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.82, 	39.33659, 	54.53, 	4.0891, 	2.365670%, 	0.250000%, 	2.115670%
2020-04-07 23:02:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.86, 	35.69, 	54.53, 	45.67111, 	2.439024%, 	0.250000%, 	2.189024%
2020-04-07 23:03:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.87, 	17.88909, 	54.53, 	42.49111, 	2.457363%, 	0.250000%, 	2.207363%
2020-04-07 23:03:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.85, 	17.88785, 	54.53, 	54.57133, 	2.420686%, 	0.250000%, 	2.170686%
2020-04-07 23:04:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.8, 	57.30921, 	54.53, 	26.85843, 	2.328993%, 	0.250000%, 	2.078993%
2020-04-07 23:04:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.8, 	75.41477, 	54.53, 	3.4, 	2.328993%, 	0.250000%, 	2.078993%
2020-04-07 23:05:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.8, 	42.62834, 	54.53, 	19.33208, 	2.328993%, 	0.250000%, 	2.078993%
2020-04-07 23:05:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.82, 	17.9051, 	54.53, 	15.19478, 	2.365670%, 	0.250000%, 	2.115670%
2020-04-07 23:06:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.72, 	20.64527, 	54.53, 	1.24683, 	2.182285%, 	0.250000%, 	1.932285%
2020-04-07 23:06:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.75, 	42.5979, 	54.53, 	0.00023, 	2.237301%, 	0.250000%, 	1.987301%
2020-04-07 23:07:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.8, 	21.29045, 	54.53, 	38.25802, 	2.328993%, 	0.250000%, 	2.078993%
2020-04-07 23:07:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.8, 	35.7, 	54.53, 	17.90555, 	2.328993%, 	0.250000%, 	2.078993%
2020-04-07 23:08:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.83, 	25.47684, 	54.53, 	38.19802, 	2.384009%, 	0.250000%, 	2.134009%
2020-04-07 23:08:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.97, 	21.57256, 	54.53, 	8.4305, 	2.640748%, 	0.250000%, 	2.390748%
2020-04-07 23:09:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.97, 	29.42062, 	54.53, 	3.30833, 	2.640748%, 	0.250000%, 	2.390748%
2020-04-07 23:09:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.72, 	8.1713, 	54.53, 	13.10786, 	2.182285%, 	0.250000%, 	1.932285%
