2020-04-08 19:05:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034222, 	58.983, 	0.033893, 	111.7, 	0.970702%, 	0.360000%, 	0.610702%
2020-04-08 19:05:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034226, 	58.976, 	0.03389, 	5.19, 	0.991443%, 	0.360000%, 	0.631443%
2020-04-08 19:06:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034218, 	26.237, 	0.03389, 	5.19, 	0.967837%, 	0.360000%, 	0.607837%
2020-04-08 19:06:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	6.0, 	0.03389, 	5.19, 	0.970788%, 	0.360000%, 	0.610788%
2020-04-08 19:06:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	32.274, 	0.03389, 	5.19, 	0.970788%, 	0.360000%, 	0.610788%
2020-04-08 19:06:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	32.274, 	0.033885, 	5.19, 	0.985687%, 	0.360000%, 	0.625687%
2020-04-08 19:07:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	32.274, 	0.033885, 	5.19, 	0.985687%, 	0.360000%, 	0.625687%
2020-04-08 19:07:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	26.274, 	0.033885, 	5.19, 	0.985687%, 	0.360000%, 	0.625687%
2020-04-08 19:07:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	26.269, 	0.033882, 	126.75, 	0.994628%, 	0.360000%, 	0.634628%
2020-04-08 19:07:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034219, 	26.269, 	0.03388, 	126.72, 	1.000590%, 	0.360000%, 	0.640590%
2020-04-08 19:08:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	6.0, 	0.033874, 	126.76, 	1.021432%, 	0.360000%, 	0.661432%
2020-04-08 19:08:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	6.0, 	0.033872, 	5.19, 	1.027397%, 	0.360000%, 	0.667397%
2020-04-08 19:08:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	32.29, 	0.03387, 	5.19, 	1.033363%, 	0.360000%, 	0.673363%
2020-04-08 19:08:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	32.29, 	0.03387, 	5.19, 	1.033363%, 	0.360000%, 	0.673363%
2020-04-08 19:09:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	85.276, 	0.033865, 	5.19, 	1.048280%, 	0.360000%, 	0.688280%
2020-04-08 19:09:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	85.276, 	0.033861, 	5.19, 	1.060217%, 	0.360000%, 	0.700217%
2020-04-08 19:09:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	85.251, 	0.033861, 	5.19, 	1.060217%, 	0.360000%, 	0.700217%
2020-04-08 19:09:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034224, 	58.979, 	0.033885, 	258.55, 	1.000443%, 	0.360000%, 	0.640443%
2020-04-08 19:10:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034224, 	58.979, 	0.033885, 	258.55, 	1.000443%, 	0.360000%, 	0.640443%
2020-04-08 19:10:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034242, 	88.648, 	0.033884, 	5.18, 	1.056546%, 	0.360000%, 	0.696546%
2020-04-08 19:10:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.236, 	0.033885, 	253.37, 	0.988638%, 	0.360000%, 	0.628638%
2020-04-08 19:10:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034221, 	6.0, 	0.033892, 	5.18, 	0.970731%, 	0.360000%, 	0.610731%
2020-04-08 19:11:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.236, 	0.03389, 	5.18, 	0.973739%, 	0.360000%, 	0.613739%
2020-04-08 19:11:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.236, 	0.033889, 	30.03, 	0.976718%, 	0.360000%, 	0.616718%
2020-04-08 19:11:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.246, 	0.033884, 	5.18, 	0.991618%, 	0.360000%, 	0.631618%
2020-04-08 19:11:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034221, 	6.0, 	0.033883, 	5.19, 	0.997550%, 	0.360000%, 	0.637550%
2020-04-08 19:12:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034221, 	6.0, 	0.033878, 	5.19, 	1.012456%, 	0.360000%, 	0.652456%
2020-04-08 19:12:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.246, 	0.033874, 	126.8, 	1.021432%, 	0.360000%, 	0.661432%
2020-04-08 19:12:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.275, 	0.033873, 	5.19, 	1.024415%, 	0.360000%, 	0.664415%
2020-04-08 19:12:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.275, 	0.033873, 	5.19, 	1.024415%, 	0.360000%, 	0.664415%
2020-04-08 19:13:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.275, 	0.033873, 	5.18, 	1.024415%, 	0.360000%, 	0.664415%
2020-04-08 19:13:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.275, 	0.033873, 	5.18, 	1.024415%, 	0.360000%, 	0.664415%
2020-04-08 19:13:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.282, 	0.033863, 	126.76, 	1.054248%, 	0.360000%, 	0.694248%
2020-04-08 19:13:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	24.329, 	0.033862, 	5.18, 	1.057232%, 	0.360000%, 	0.697232%
2020-04-08 19:14:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	24.329, 	0.033862, 	5.18, 	1.057232%, 	0.360000%, 	0.697232%
2020-04-08 19:14:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	24.329, 	0.033862, 	5.18, 	1.057232%, 	0.360000%, 	0.697232%
2020-04-08 19:14:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.28, 	0.033863, 	5.17, 	1.054248%, 	0.360000%, 	0.694248%
2020-04-08 19:14:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03422, 	26.28, 	0.03388, 	5.17, 	1.003542%, 	0.360000%, 	0.643542%
2020-04-08 19:15:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034169, 	59.074, 	0.033898, 	253.17, 	0.799457%, 	0.360000%, 	0.439457%
2020-04-08 19:15:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034174, 	1.953, 	0.033897, 	126.6, 	0.817181%, 	0.360000%, 	0.457181%
2020-04-08 19:15:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034177, 	59.06, 	0.033896, 	5.17, 	0.829006%, 	0.360000%, 	0.469006%
2020-04-08 19:15:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034162, 	1.953, 	0.033894, 	126.61, 	0.790700%, 	0.360000%, 	0.430700%
2020-04-08 19:16:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033894, 	131.77, 	0.775949%, 	0.360000%, 	0.415949%
2020-04-08 19:16:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033886, 	126.63, 	0.799740%, 	0.360000%, 	0.439740%
2020-04-08 19:16:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033885, 	5.17, 	0.802715%, 	0.360000%, 	0.442715%
2020-04-08 19:16:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033885, 	5.17, 	0.802715%, 	0.360000%, 	0.442715%
2020-04-08 19:17:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033885, 	5.17, 	0.802715%, 	0.360000%, 	0.442715%
