2020-04-07 22:43:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322964, 	20.243033, 	0.329, 	4.454, 	1.285605%, 	0.400000%, 	0.885605%
2020-04-07 22:44:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322971, 	4.451, 	0.329, 	2.08218018, 	1.285626%, 	0.400000%, 	0.885626%
2020-04-07 22:44:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322973, 	4.452, 	0.329, 	4.453, 	1.285632%, 	0.400000%, 	0.885632%
2020-04-07 22:45:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322973, 	4.452, 	0.329, 	4.45, 	1.285632%, 	0.400000%, 	0.885632%
2020-04-07 22:45:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322973, 	4.452, 	0.329, 	4.45, 	1.285632%, 	0.400000%, 	0.885632%
2020-04-07 22:46:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322979, 	4.465, 	0.329, 	4.459, 	1.285650%, 	0.400000%, 	0.885650%
2020-04-07 22:46:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322979, 	4.465, 	0.329, 	4.461, 	1.285650%, 	0.400000%, 	0.885650%
2020-04-07 22:47:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33293903, 	13.399312, 	0.329, 	4.461, 	1.197274%, 	0.400000%, 	0.797274%
2020-04-07 22:47:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33293912, 	13.906228, 	0.329, 	22.45641, 	1.197301%, 	0.400000%, 	0.797301%
2020-04-07 22:48:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33319946, 	90.448054, 	0.329, 	4.46, 	1.276432%, 	0.400000%, 	0.876432%
2020-04-07 22:48:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33313704, 	4.462, 	0.329, 	4.46, 	1.257459%, 	0.400000%, 	0.857459%
2020-04-07 22:49:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33288687, 	4.46, 	0.329, 	4.46, 	1.181419%, 	0.400000%, 	0.781419%
2020-04-07 22:49:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33288691, 	4.46, 	0.329, 	4.46, 	1.181432%, 	0.400000%, 	0.781432%
2020-04-07 22:50:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33288691, 	4.46, 	0.329, 	4.46, 	1.181432%, 	0.400000%, 	0.781432%
2020-04-07 22:50:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.333, 	0.07327489, 	0.329, 	4.46, 	1.215805%, 	0.400000%, 	0.815805%
2020-04-07 22:51:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.333, 	0.07327489, 	0.329, 	4.459, 	1.215805%, 	0.400000%, 	0.815805%
2020-04-07 22:51:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.333, 	0.15457302, 	0.329, 	4.459, 	1.215805%, 	0.400000%, 	0.815805%
2020-04-07 22:52:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33300398, 	4.454, 	0.329, 	1.71082153, 	1.217015%, 	0.400000%, 	0.817015%
