2020-04-08 10:49:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:49:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:49:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:50:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:50:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:50:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:50:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:51:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:51:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:51:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:51:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:52:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:52:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:52:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:52:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:53:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:53:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:53:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:53:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:54:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:54:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:54:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:54:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:55:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:55:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:55:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:55:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:56:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:56:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:56:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:56:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:57:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:57:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:57:44, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:57:59, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:58:14, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:58:29, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
