2020-04-08 22:09:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:09:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:10:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:10:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:10:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:10:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:11:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:11:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:11:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:11:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:12:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:12:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:12:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:12:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:13:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:13:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10596.8, 	0.286533%, 	0.250000%, 	0.036533%
