2020-04-09 01:01:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.907e-05, 	736.0, 	3.893e-05, 	4.99625, 	0.359620%, 	0.190000%, 	0.169620%
2020-04-09 01:01:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.909e-05, 	645.0, 	3.893e-05, 	4.99625, 	0.410994%, 	0.190000%, 	0.220994%
2020-04-09 01:02:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.909e-05, 	51.0, 	3.893e-05, 	4.99625, 	0.410994%, 	0.190000%, 	0.220994%
2020-04-09 01:02:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:02:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:02:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	249.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:03:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	252.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:03:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	252.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:03:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	252.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:03:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.911e-05, 	252.0, 	3.893e-05, 	0.99264676, 	0.462368%, 	0.190000%, 	0.272368%
2020-04-09 01:04:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.912e-05, 	289.0, 	3.893e-05, 	0.99264676, 	0.488055%, 	0.190000%, 	0.298055%
