2020-04-10 10:31:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:31:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:32:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:32:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:32:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:32:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:33:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:33:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:33:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:33:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:34:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:34:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	51.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:34:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	51.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:34:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	51.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:35:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.782e-05, 	42.0, 	0.501327%, 	0.190000%, 	0.311327%
2020-04-10 10:35:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.786e-05, 	300.0, 	0.442087%, 	0.190000%, 	0.252087%
2020-04-10 10:35:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.806e-05, 	1447.0, 	0.146929%, 	0.190000%, 	-0.043071%
2020-04-10 16:32:29, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.63e-05, 	206.0, 	0.226244%, 	0.190000%, 	0.036244%
2020-04-10 16:32:44, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.63e-05, 	206.0, 	0.226244%, 	0.190000%, 	0.036244%
2020-04-10 16:32:59, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.628e-05, 	84.0, 	0.256488%, 	0.190000%, 	0.066488%
2020-04-10 16:33:14, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.63e-05, 	3105.0, 	0.226244%, 	0.190000%, 	0.036244%
2020-04-10 16:33:29, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.63e-05, 	3105.0, 	0.226244%, 	0.190000%, 	0.036244%
2020-04-10 16:33:44, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.63e-05, 	3105.0, 	0.226244%, 	0.190000%, 	0.036244%
2020-04-10 16:33:59, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.63e-05, 	3105.0, 	0.226244%, 	0.190000%, 	0.036244%
2020-04-10 16:34:14, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.645e-05, 	2.0515, 	6.629e-05, 	587.0, 	0.241364%, 	0.190000%, 	0.051364%
