2020-04-10 04:57:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.20650149, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:58:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235123, 	0.13841039, 	0.00234, 	33.45366832, 	0.479915%, 	0.340000%, 	0.139915%
2020-04-10 04:58:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.17294473, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:58:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.2074512, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:58:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.22472629, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:59:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.15424932, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:59:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.17578931, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:59:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.19303766, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:59:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21030058, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 05:00:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.22757808, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 05:00:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.1658781, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
