2020-04-09 03:48:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:48:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1592.91, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:49:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:49:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	240.29, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:49:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	240.29, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:49:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	240.29, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:50:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	240.29, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:50:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.000144, 	37.81, 	0.00014389, 	2.5320856, 	0.076447%, 	0.190000%, 	-0.113553%
2020-04-11 15:53:03, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	65.21, 	0.00014167, 	0.00741722, 	0.585869%, 	0.190000%, 	0.395869%
2020-04-11 15:53:18, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001425, 	46.07, 	0.00014185, 	3.03238026, 	0.458231%, 	0.190000%, 	0.268231%
2020-04-11 15:53:33, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001437, 	3.06, 	0.00014325, 	3.85979019, 	0.314136%, 	0.190000%, 	0.124136%
