2020-04-09 10:18:10, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1417.24, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:18:25, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	30544.07, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:18:40, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	22538.12, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:18:55, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	22538.12, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:19:10, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	22538.12, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:19:25, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	22538.12, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:19:40, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	21037.68, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:19:55, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	21037.68, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:20:10, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	21037.68, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:20:25, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	21037.68, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:20:40, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	21037.68, 	0.198253%, 	0.190000%, 	0.008253%
2020-04-09 10:20:55, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9988, 	21037.68, 	0.198253%, 	0.190000%, 	0.008253%
