2020-04-09 18:32:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24909.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:32:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24909.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:32:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24909.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:32:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24909.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:33:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24988.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:33:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25146.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:33:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25146.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:33:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25146.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:34:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25186.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:34:28, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25186.0, 	0.393701%, 	0.190000%, 	0.203701%
