2020-04-11 11:16:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:16:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:17:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:17:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:17:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:17:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:18:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:18:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:18:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:18:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:19:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:19:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:19:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:19:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:20:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:20:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:20:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:20:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:21:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:21:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:21:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
2020-04-11 11:21:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.26e-05, 	6000.0, 	0.442478%, 	0.340000%, 	0.102478%
