2020-04-09 00:13:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:14:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	447811.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-09 00:14:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:14:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:14:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:15:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:15:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:15:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	2556765.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:15:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:16:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	283424.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:16:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:16:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:16:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:17:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:17:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:17:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
