2020-04-07 21:15:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	749.88681118, 	2.97e-06, 	5147.22115783, 	81.481481%, 	0.400000%, 	81.081481%
2020-04-07 21:16:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	749.88681118, 	2.96e-06, 	7378.7825, 	82.094595%, 	0.400000%, 	81.694595%
2020-04-07 21:16:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.446e-06, 	836.86497259, 	2.96e-06, 	8307.35392857, 	83.986486%, 	0.400000%, 	83.586486%
2020-04-07 21:17:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.404e-06, 	836.86497259, 	2.96e-06, 	8307.35392857, 	82.567568%, 	0.400000%, 	82.167568%
2020-04-07 21:17:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.444e-06, 	836.86497259, 	2.96e-06, 	8307.35392857, 	83.918919%, 	0.400000%, 	83.518919%
2020-04-07 21:41:48, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.533e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.433333%, 	0.400000%, 	84.033333%
2020-04-07 21:42:18, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.533e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.433333%, 	0.400000%, 	84.033333%
2020-04-07 21:42:48, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.533e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.433333%, 	0.400000%, 	84.033333%
2020-04-07 21:43:18, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.533e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.433333%, 	0.400000%, 	84.033333%
2020-04-07 21:43:48, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.533e-06, 	8119.58944779, 	3e-06, 	600.0, 	84.433333%, 	0.400000%, 	84.033333%
