2020-04-07 22:54:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:54:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	25.88259378, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:55:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:55:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	25.19815152, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:56:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:56:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:57:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:57:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:58:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:58:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	495.48386662, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:59:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	489.62027509, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 22:59:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	12.0, 	0.00225118, 	139.62027509, 	2.770103%, 	0.340000%, 	2.430103%
2020-04-07 23:00:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	12.0, 	0.00225947, 	8.02509736, 	2.393482%, 	0.340000%, 	2.053482%
2020-04-07 23:00:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	12.0, 	0.00226345, 	7.98547564, 	2.213435%, 	0.340000%, 	1.873435%
2020-04-07 23:01:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232034, 	15.0, 	0.00227, 	0.17499236, 	2.217621%, 	0.340000%, 	1.877621%
2020-04-07 23:01:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232034, 	37.23621727, 	0.00227, 	0.17499236, 	2.217621%, 	0.340000%, 	1.877621%
2020-04-07 23:02:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232033, 	15.0, 	0.00227, 	0.17499236, 	2.217181%, 	0.340000%, 	1.877181%
2020-04-07 23:02:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	15.0, 	0.00227, 	0.17499236, 	1.918502%, 	0.340000%, 	1.578502%
2020-04-07 23:03:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231354, 	15.0, 	0.00226997, 	7.99447412, 	1.919409%, 	0.340000%, 	1.579409%
2020-04-07 23:03:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:04:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:04:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:05:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:05:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	24.15978911, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:06:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:06:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:07:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	15.0, 	0.00227, 	50.17499236, 	1.619824%, 	0.340000%, 	1.279824%
2020-04-07 23:07:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230678, 	15.0, 	0.00227, 	50.17499236, 	1.620264%, 	0.340000%, 	1.280264%
2020-04-07 23:08:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230678, 	15.0, 	0.00227, 	50.17499236, 	1.620264%, 	0.340000%, 	1.280264%
2020-04-07 23:08:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00231355, 	15.0, 	0.00227, 	50.17499236, 	1.918502%, 	0.340000%, 	1.578502%
2020-04-07 23:09:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230678, 	15.0, 	0.00227, 	50.17499236, 	1.620264%, 	0.340000%, 	1.280264%
2020-04-07 23:09:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230678, 	15.0, 	0.00227, 	50.17499236, 	1.620264%, 	0.340000%, 	1.280264%
2020-04-07 23:10:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232034, 	11.0, 	0.00227, 	97.05455191, 	2.217621%, 	0.340000%, 	1.877621%
2020-04-07 23:10:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232034, 	11.0, 	0.00227, 	237.48254706, 	2.217621%, 	0.340000%, 	1.877621%
2020-04-07 23:11:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232034, 	11.0, 	0.00227, 	237.48254706, 	2.217621%, 	0.340000%, 	1.877621%
2020-04-07 23:11:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232034, 	11.0, 	0.00227, 	422.01779062, 	2.217621%, 	0.340000%, 	1.877621%
2020-04-07 23:12:05, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232033, 	11.0, 	0.00227, 	145.51829063, 	2.217181%, 	0.340000%, 	1.877181%
2020-04-07 23:12:35, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00232033, 	11.0, 	0.00229012, 	53.22656924, 	1.319145%, 	0.340000%, 	0.979145%
