2020-04-09 14:51:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:52:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:52:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:52:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:52:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	5793.79, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:53:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	5793.79, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:53:18, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:53:33, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:53:48, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:54:03, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:55:09, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:55:24, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:55:39, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	795.06, 	1.101101%, 	0.460000%, 	0.641101%
