2020-04-08 18:54:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386, 	15.0, 	0.877141%, 	0.410000%, 	0.467141%
2020-04-08 18:54:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387, 	15.0, 	0.847358%, 	0.410000%, 	0.437358%
2020-04-08 18:55:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387, 	15.0, 	0.847358%, 	0.410000%, 	0.437358%
2020-04-08 18:55:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387, 	15.0, 	0.847358%, 	0.410000%, 	0.437358%
2020-04-08 18:55:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389, 	141.61423, 	0.787843%, 	0.410000%, 	0.377843%
2020-04-08 18:55:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.03416, 	59.09, 	0.03389, 	141.6252, 	0.796695%, 	0.410000%, 	0.386695%
2020-04-08 18:56:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034159, 	2.0, 	0.03388, 	274.96151, 	0.823495%, 	0.410000%, 	0.413495%
2020-04-08 18:56:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389, 	521.63337, 	0.787843%, 	0.410000%, 	0.377843%
2020-04-08 18:56:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034159, 	59.092, 	0.03389, 	781.69203, 	0.793744%, 	0.410000%, 	0.383744%
2020-04-08 18:56:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034163, 	59.085, 	0.03389, 	394.96671, 	0.805547%, 	0.410000%, 	0.395547%
2020-04-08 18:57:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034164, 	1.954, 	0.03389, 	528.32932, 	0.808498%, 	0.410000%, 	0.398498%
2020-04-08 18:57:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034165, 	59.081, 	0.03387, 	15.0, 	0.870977%, 	0.410000%, 	0.460977%
2020-04-08 18:57:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034168, 	59.076, 	0.03389, 	394.9321, 	0.820301%, 	0.410000%, 	0.410301%
2020-04-08 18:57:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034169, 	1.953, 	0.03389, 	394.87329, 	0.823252%, 	0.410000%, 	0.413252%
2020-04-08 18:58:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034169, 	1.953, 	0.03389, 	141.62664, 	0.823252%, 	0.410000%, 	0.413252%
2020-04-08 18:58:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034174, 	59.066, 	0.03391, 	401.52349, 	0.778531%, 	0.410000%, 	0.368531%
2020-04-08 18:58:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034177, 	1.954, 	0.0339, 	268.17267, 	0.817109%, 	0.410000%, 	0.407109%
2020-04-08 18:58:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034162, 	1.953, 	0.0339, 	527.89431, 	0.772861%, 	0.410000%, 	0.362861%
2020-04-08 18:59:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034172, 	59.069, 	0.0339, 	268.17267, 	0.802360%, 	0.410000%, 	0.392360%
2020-04-08 18:59:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034175, 	1.026, 	0.0339, 	268.17267, 	0.811209%, 	0.410000%, 	0.401209%
2020-04-08 18:59:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	60.996, 	0.03389, 	141.57361, 	0.873414%, 	0.410000%, 	0.463414%
2020-04-08 18:59:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	60.996, 	0.03388, 	521.56997, 	0.903188%, 	0.410000%, 	0.493188%
2020-04-08 19:00:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034186, 	60.996, 	0.03386, 	141.69092, 	0.962788%, 	0.410000%, 	0.552788%
2020-04-08 19:00:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034187, 	53.149, 	0.03386, 	141.69092, 	0.965741%, 	0.410000%, 	0.555741%
2020-04-08 19:00:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385, 	654.82231, 	0.906942%, 	0.410000%, 	0.496942%
2020-04-08 19:00:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385, 	654.84692, 	0.906942%, 	0.410000%, 	0.496942%
2020-04-08 19:01:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386, 	775.10347, 	0.877141%, 	0.410000%, 	0.467141%
2020-04-08 19:01:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386, 	521.66993, 	0.877141%, 	0.410000%, 	0.467141%
2020-04-08 19:01:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386, 	15.0, 	0.877141%, 	0.410000%, 	0.467141%
2020-04-08 19:01:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387, 	781.22641, 	0.847358%, 	0.410000%, 	0.437358%
2020-04-08 19:02:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387, 	781.22641, 	0.847358%, 	0.410000%, 	0.437358%
2020-04-08 19:02:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387, 	394.94771, 	0.847358%, 	0.410000%, 	0.437358%
2020-04-08 19:02:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386, 	395.00499, 	0.877141%, 	0.410000%, 	0.467141%
2020-04-08 19:02:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03384, 	275.25713, 	0.936761%, 	0.410000%, 	0.526761%
2020-04-08 19:03:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385, 	141.73832, 	0.906942%, 	0.410000%, 	0.496942%
2020-04-08 19:03:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385, 	15.0, 	0.906942%, 	0.410000%, 	0.496942%
2020-04-08 19:03:35, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034157, 	0.351, 	0.03388, 	15.0, 	0.817591%, 	0.410000%, 	0.407591%
2020-04-08 19:03:50, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034158, 	59.093, 	0.03388, 	176.03696, 	0.820543%, 	0.410000%, 	0.410543%
2020-04-08 19:04:05, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.03416, 	59.09, 	0.03386, 	141.6576, 	0.886001%, 	0.410000%, 	0.476001%
2020-04-08 19:04:20, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.034172, 	59.069, 	0.03386, 	141.6576, 	0.921441%, 	0.410000%, 	0.511441%
