2020-04-11 18:15:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1306.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	370.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	370.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:15:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:16:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	370.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
