2020-04-11 15:57:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.731e-05, 	327.0, 	2.830734%, 	0.250000%, 	2.580734%
2020-04-11 15:58:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.738e-05, 	265.0, 	2.416571%, 	0.250000%, 	2.166571%
2020-04-11 15:58:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.738e-05, 	273.0, 	2.416571%, 	0.250000%, 	2.166571%
2020-04-11 15:58:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.737e-05, 	8.0, 	2.475533%, 	0.250000%, 	2.225533%
2020-04-11 15:58:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.737e-05, 	12.0, 	2.475533%, 	0.250000%, 	2.225533%
2020-04-11 15:59:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.737e-05, 	12.0, 	2.475533%, 	0.250000%, 	2.225533%
2020-04-11 15:59:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.754e-05, 	1270.0, 	1.482326%, 	0.250000%, 	1.232326%
2020-04-11 15:59:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.745e-05, 	778.0, 	2.005731%, 	0.250000%, 	1.755731%
2020-04-11 15:59:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.75e-05, 	642.0, 	1.714286%, 	0.250000%, 	1.464286%
2020-04-11 16:00:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.74e-05, 	19.395, 	1.754e-05, 	642.0, 	-0.798176%, 	0.250000%, 	-1.048176%
2020-04-11 16:11:27, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3396.4497, 	1.731e-05, 	11.0, 	5.141537%, 	0.250000%, 	4.891537%
2020-04-11 16:11:42, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3203.9982, 	1.765e-05, 	476.0, 	3.116147%, 	0.250000%, 	2.866147%
2020-04-11 16:11:57, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	3588.6135, 	1.769e-05, 	963.0, 	2.882985%, 	0.250000%, 	2.632985%
