2020-04-11 11:11:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1377.4629, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:11:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1377.4629, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:12:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1377.4629, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:12:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1377.4629, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:12:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1377.4629, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:12:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:13:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:13:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:13:36, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:13:51, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:14:06, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
2020-04-11 11:14:21, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16835, 	2000.0, 	0.1672, 	1369.6302, 	0.687799%, 	0.400000%, 	0.287799%
