2020-04-10 16:24:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20949915.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:25:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20996747.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:25:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20996747.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:25:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21528662.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:25:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21546662.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:26:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21601725.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:26:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21489225.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:26:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21829535.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:26:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21973005.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:27:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21910582.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:27:19, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21924911.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:27:34, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21941405.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:27:49, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21961407.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:28:04, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21988601.0, 	2.127660%, 	0.300000%, 	1.827660%
