2020-04-09 21:55:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:55:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:55:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:55:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:56:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:56:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:56:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:56:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:57:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:57:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:57:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:57:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:58:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:58:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:58:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:58:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:59:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:59:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:59:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:59:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:00:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:00:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:00:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:00:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:01:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:01:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:01:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:01:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:02:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:02:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:02:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:02:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:03:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:03:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:03:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:03:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:04:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:04:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:04:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:04:59, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:05:14, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:05:29, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 22:05:44, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	8.95681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
