2020-04-10 17:11:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:11:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:11:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:12:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:12:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:12:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:12:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:13:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:13:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:13:41, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:13:56, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:14:11, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
2020-04-10 17:14:26, 	OKEX        , 	Poloniex    , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014018, 	7.9609, 	0.584962%, 	0.240000%, 	0.344962%
