2020-04-09 00:58:39, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0247, 	194.24, 	1.01989, 	2450.204, 	0.471619%, 	0.410000%, 	0.061619%
2020-04-09 00:58:54, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0248, 	640.5964, 	1.01989, 	2450.204, 	0.481424%, 	0.410000%, 	0.071424%
2020-04-09 00:59:09, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0251, 	194.1643, 	1.01989, 	2849.48, 	0.510839%, 	0.410000%, 	0.100839%
2020-04-09 00:59:24, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0252, 	194.1453, 	1.01989, 	2849.48, 	0.520644%, 	0.410000%, 	0.110644%
2020-04-09 00:59:39, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0251, 	474.26, 	1.01989, 	2849.48, 	0.510839%, 	0.410000%, 	0.100839%
2020-04-09 00:59:54, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0252, 	280.0683, 	1.01989, 	2849.48, 	0.520644%, 	0.410000%, 	0.110644%
2020-04-09 01:00:09, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0253, 	194.1264, 	1.01988, 	389.349, 	0.531435%, 	0.410000%, 	0.121435%
2020-04-09 01:00:24, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	194.3159, 	1.01988, 	389.349, 	0.433384%, 	0.410000%, 	0.023384%
2020-04-09 01:00:39, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	194.3159, 	1.01953, 	2450.204, 	0.467863%, 	0.410000%, 	0.057863%
2020-04-09 01:00:54, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	194.3159, 	1.01953, 	2450.204, 	0.467863%, 	0.410000%, 	0.057863%
2020-04-09 01:01:09, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	194.3159, 	1.01953, 	2450.204, 	0.467863%, 	0.410000%, 	0.057863%
2020-04-09 01:01:24, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	194.3159, 	1.01953, 	2839.552, 	0.467863%, 	0.410000%, 	0.057863%
2020-04-09 01:01:39, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0243, 	194.3159, 	1.01953, 	2450.204, 	0.467863%, 	0.410000%, 	0.057863%
2020-04-09 01:01:54, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	13.2423, 	1.01953, 	2450.204, 	0.350161%, 	0.410000%, 	-0.059839%
2020-04-09 03:20:27, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:20:42, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:20:57, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:21:12, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:21:27, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:21:42, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:21:57, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:22:12, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:22:27, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:22:42, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:22:57, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01866, 	2453.848, 	0.435867%, 	0.410000%, 	0.025867%
2020-04-09 03:23:12, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01835, 	2453.848, 	0.466441%, 	0.410000%, 	0.056441%
2020-04-09 03:23:27, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	8.1325, 	1.01835, 	2453.848, 	0.466441%, 	0.410000%, 	0.056441%
