2020-04-08 23:33:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5354.88374997, 	0.00013955, 	63.0, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:33:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5354.88374997, 	0.00013954, 	14.3358899, 	0.687975%, 	0.450000%, 	0.237975%
2020-04-08 23:34:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5354.88374997, 	0.00013952, 	14.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:34:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	5354.88374997, 	0.00013952, 	14.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:34:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4681.16504193, 	0.0001395, 	14.3358899, 	0.716846%, 	0.450000%, 	0.266846%
2020-04-08 23:34:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4681.16504193, 	0.0001395, 	14.3358899, 	0.716846%, 	0.450000%, 	0.266846%
2020-04-08 23:35:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4513.05828036, 	0.00013949, 	63.0, 	0.724066%, 	0.450000%, 	0.274066%
2020-04-08 23:35:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013955, 	14.3358899, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:35:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013954, 	63.0, 	0.687975%, 	0.450000%, 	0.237975%
2020-04-08 23:35:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013953, 	14.3358899, 	0.695191%, 	0.450000%, 	0.245191%
2020-04-08 23:36:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013953, 	14.3358899, 	0.695191%, 	0.450000%, 	0.245191%
2020-04-08 23:36:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013952, 	63.0, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:36:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013955, 	14.3358899, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:36:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	4008.42377369, 	0.00013954, 	63.0, 	0.687975%, 	0.450000%, 	0.237975%
2020-04-08 23:37:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.00013953, 	14.3358899, 	0.695191%, 	0.450000%, 	0.245191%
2020-04-08 23:37:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.00013953, 	14.3358899, 	0.695191%, 	0.450000%, 	0.245191%
2020-04-08 23:37:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.00013951, 	14.3358899, 	0.709627%, 	0.450000%, 	0.259627%
2020-04-08 23:37:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.00013951, 	14.3358899, 	0.709627%, 	0.450000%, 	0.259627%
2020-04-08 23:38:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.0001395, 	63.0, 	0.716846%, 	0.450000%, 	0.266846%
2020-04-08 23:38:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.00013955, 	14.3358899, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:38:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3503.40199489, 	0.00013954, 	63.0, 	0.687975%, 	0.450000%, 	0.237975%
2020-04-08 23:38:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3492.18265974, 	0.00013952, 	14.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:39:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3492.18265974, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:39:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3492.18265974, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:39:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3492.18265974, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:39:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3479.29732326, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:40:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3479.29732326, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:40:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3479.29732326, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:40:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3479.29732326, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:40:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3397.80773079, 	0.00013952, 	77.3358899, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:41:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3397.80773079, 	0.00013951, 	3.62007332, 	0.709627%, 	0.450000%, 	0.259627%
2020-04-08 23:41:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	3397.80773079, 	0.00013949, 	14.3358899, 	0.724066%, 	0.450000%, 	0.274066%
