2020-04-10 01:02:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.19, 	4.419, 	1.024393%, 	0.350000%, 	0.674393%
2020-04-10 01:03:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.2, 	1.13081, 	1.017926%, 	0.350000%, 	0.667926%
2020-04-10 01:03:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.2, 	1.13081, 	1.017926%, 	0.350000%, 	0.667926%
2020-04-10 01:03:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.147, 	1.13119, 	1.052214%, 	0.350000%, 	0.702214%
2020-04-10 01:03:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.147, 	1.13119, 	1.052214%, 	0.350000%, 	0.702214%
2020-04-10 01:04:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.147, 	1.13119, 	1.052214%, 	0.350000%, 	0.702214%
2020-04-10 01:04:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.14, 	4.329, 	1.056744%, 	0.350000%, 	0.706744%
2020-04-10 01:04:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.14, 	4.329, 	1.056744%, 	0.350000%, 	0.706744%
2020-04-10 01:04:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:05:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:05:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:05:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:05:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:06:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:06:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:06:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:06:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.79, 	0.00123, 	156.081, 	1.13167, 	1.094944%, 	0.350000%, 	0.744944%
2020-04-10 01:07:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	156.081, 	1.13167, 	0.640052%, 	0.350000%, 	0.290052%
2020-04-10 01:07:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	156.081, 	1.13167, 	0.640052%, 	0.350000%, 	0.290052%
2020-04-10 01:07:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	156.081, 	1.13167, 	0.640052%, 	0.350000%, 	0.290052%
2020-04-10 01:07:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	156.081, 	1.13167, 	0.640052%, 	0.350000%, 	0.290052%
2020-04-10 01:08:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	156.081, 	1.13167, 	0.640052%, 	0.350000%, 	0.290052%
2020-04-10 01:08:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	156.08, 	2.929, 	0.640697%, 	0.350000%, 	0.290697%
2020-04-10 01:08:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	155.93, 	1.13277, 	0.737510%, 	0.350000%, 	0.387510%
2020-04-10 01:08:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	155.819, 	1.13357, 	0.809272%, 	0.350000%, 	0.459272%
2020-04-10 01:09:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	155.81, 	4.835, 	0.815095%, 	0.350000%, 	0.465095%
2020-04-10 01:09:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	155.81, 	4.333, 	0.815095%, 	0.350000%, 	0.465095%
2020-04-10 01:09:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.08, 	0.20653, 	155.819, 	1.13357, 	0.809272%, 	0.350000%, 	0.459272%
2020-04-10 01:09:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.819, 	1.13357, 	0.603906%, 	0.350000%, 	0.253906%
2020-04-10 01:10:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.819, 	1.13357, 	0.603906%, 	0.350000%, 	0.253906%
2020-04-10 01:10:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.819, 	1.13357, 	0.603906%, 	0.350000%, 	0.253906%
2020-04-10 01:10:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.81, 	4.263, 	0.609717%, 	0.350000%, 	0.259717%
2020-04-10 01:10:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.699, 	1.13445, 	0.681443%, 	0.350000%, 	0.331443%
2020-04-10 01:11:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.699, 	1.13445, 	0.681443%, 	0.350000%, 	0.331443%
2020-04-10 01:11:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.699, 	1.13445, 	0.681443%, 	0.350000%, 	0.331443%
2020-04-10 01:11:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.699, 	1.13445, 	0.681443%, 	0.350000%, 	0.331443%
2020-04-10 01:11:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.699, 	1.13445, 	0.681443%, 	0.350000%, 	0.331443%
2020-04-10 01:12:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.699, 	1.13445, 	0.681443%, 	0.350000%, 	0.331443%
2020-04-10 01:12:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:12:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:12:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:13:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:13:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:13:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:13:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.649, 	1.13481, 	0.713786%, 	0.350000%, 	0.363786%
2020-04-10 01:14:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.589, 	1.13525, 	0.752624%, 	0.350000%, 	0.402624%
2020-04-10 01:14:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.589, 	1.13525, 	0.752624%, 	0.350000%, 	0.402624%
2020-04-10 01:14:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.589, 	1.13525, 	0.752624%, 	0.350000%, 	0.402624%
2020-04-10 01:14:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.589, 	1.13525, 	0.752624%, 	0.350000%, 	0.402624%
2020-04-10 01:15:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.589, 	1.13525, 	0.752624%, 	0.350000%, 	0.402624%
2020-04-10 01:15:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.52, 	1.465, 	0.797325%, 	0.350000%, 	0.447325%
2020-04-10 01:15:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.502, 	1.13588, 	0.808993%, 	0.350000%, 	0.458993%
2020-04-10 01:15:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.502, 	1.13588, 	0.808993%, 	0.350000%, 	0.458993%
2020-04-10 01:16:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.5, 	3.234, 	0.810289%, 	0.350000%, 	0.460289%
2020-04-10 01:16:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.447, 	1.13629, 	0.844661%, 	0.350000%, 	0.494661%
2020-04-10 01:16:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.76, 	0.16, 	155.447, 	1.13629, 	0.844661%, 	0.350000%, 	0.494661%
2020-04-10 01:16:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.02, 	2.0, 	155.447, 	1.13629, 	0.368614%, 	0.350000%, 	0.018614%
2020-04-10 01:17:12, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.02, 	2.0, 	155.44, 	4.068, 	0.373134%, 	0.350000%, 	0.023134%
2020-04-10 01:17:27, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.02, 	2.0, 	155.447, 	1.13629, 	0.368614%, 	0.350000%, 	0.018614%
2020-04-10 01:17:42, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.02, 	2.0, 	155.447, 	1.13629, 	0.368614%, 	0.350000%, 	0.018614%
2020-04-10 01:17:57, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.02, 	2.0, 	155.447, 	1.13629, 	0.368614%, 	0.350000%, 	0.018614%
