2020-04-11 18:20:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	2847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:20:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:20:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	12847.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:21:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	13160.177, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:21:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:21:28, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:21:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:21:43, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:21:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:21:58, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	2848.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:13, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	3286.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
2020-04-11 18:22:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.341e-05, 	3286.355, 	3.303e-05, 	15.48838758, 	1.150469%, 	0.510000%, 	0.640469%
