2020-04-10 01:17:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:17:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:18:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:18:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:18:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:18:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:19:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:19:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:19:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:19:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:20:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:20:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:20:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4730.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:20:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4730.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:21:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:21:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:21:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:21:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:22:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:22:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:22:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:22:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:23:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:23:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:23:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:23:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:24:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:24:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:24:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:24:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:25:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:25:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4813.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:25:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4730.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:25:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4730.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:26:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4812.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:26:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4812.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:26:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	125.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
