2020-04-09 12:00:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	38000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 12:01:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	38285.3696, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 12:01:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28857.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:01:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002563, 	13500.0, 	1.287554%, 	0.350000%, 	0.937554%
2020-04-09 12:01:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28571.3697, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:02:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28571.3697, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:02:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	26285.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:02:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	26285.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:02:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	26285.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:03:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	26285.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:03:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28571.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:03:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28571.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:03:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28571.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:04:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28571.3696, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:04:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002563, 	14100.0, 	1.287554%, 	0.350000%, 	0.937554%
2020-04-09 12:04:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	28000.0, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 12:04:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002565, 	30285.3696, 	1.208577%, 	0.350000%, 	0.858577%
2020-04-09 12:05:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002563, 	12300.0, 	1.287554%, 	0.350000%, 	0.937554%
2020-04-09 12:05:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002563, 	45150.0, 	1.287554%, 	0.350000%, 	0.937554%
