2020-04-07 21:54:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.18254595, 	11.50437, 	53.73, 	9.728793, 	2.703417%, 	0.240000%, 	2.463417%
2020-04-07 21:54:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.20201437, 	11.50437, 	53.72, 	55.0123264, 	2.758776%, 	0.240000%, 	2.518776%
2020-04-07 21:55:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.21235454, 	11.50437, 	53.71, 	165.44483757, 	2.797160%, 	0.240000%, 	2.557160%
2020-04-07 21:55:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.23399131, 	11.50437, 	53.7, 	7.4, 	2.856595%, 	0.240000%, 	2.616595%
2020-04-07 21:56:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.23399131, 	11.50437, 	53.7, 	3.25049415, 	2.856595%, 	0.240000%, 	2.616595%
2020-04-07 21:56:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.23399131, 	11.50437, 	53.69, 	60.4432206, 	2.875752%, 	0.240000%, 	2.635752%
2020-04-07 21:57:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.23399131, 	11.50437, 	53.68, 	7.0, 	2.894917%, 	0.240000%, 	2.654917%
2020-04-07 21:57:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.24440297, 	11.50437, 	53.68, 	7.0, 	2.914313%, 	0.240000%, 	2.674313%
2020-04-07 21:58:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.26261482, 	11.50437, 	53.68, 	15.67921865, 	2.948239%, 	0.240000%, 	2.708239%
2020-04-07 21:58:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.20035307, 	11.50437, 	53.68, 	98.6814874, 	2.832252%, 	0.240000%, 	2.592252%
2020-04-07 21:59:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.20448364, 	11.50437, 	53.68, 	7.0, 	2.839947%, 	0.240000%, 	2.599947%
2020-04-07 21:59:49, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.20752193, 	11.50437, 	53.67, 	26.34473428, 	2.864770%, 	0.240000%, 	2.624770%
2020-04-07 22:00:19, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.16620664, 	11.50437, 	53.66, 	9.817326, 	2.806945%, 	0.240000%, 	2.566945%
