2020-04-11 18:21:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	6407.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.350000%, 	1.072949%
2020-04-11 18:21:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.352e-05, 	737.0, 	3.303e-05, 	15.48838758, 	1.483500%, 	0.350000%, 	1.133500%
2020-04-11 18:21:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.352e-05, 	737.0, 	3.303e-05, 	15.48838758, 	1.483500%, 	0.350000%, 	1.133500%
2020-04-11 18:21:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.353e-05, 	351.0, 	3.303e-05, 	15.48838758, 	1.513775%, 	0.350000%, 	1.163775%
2020-04-11 18:22:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.352e-05, 	738.0, 	3.303e-05, 	15.48838758, 	1.483500%, 	0.350000%, 	1.133500%
2020-04-11 18:22:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	198.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:22:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	198.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:22:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	199.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.350000%, 	1.072949%
2020-04-11 18:23:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	587.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:23:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	587.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:23:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	200.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:23:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	588.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:24:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	588.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:24:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	564.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:24:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	1129.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 18:24:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	1129.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 18:25:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	406.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:25:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	1324.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 18:25:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	1288.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 18:25:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	1288.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 18:26:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	1324.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 18:26:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	402.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
