2020-04-11 12:25:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.257e-05, 	35.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:25:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:25:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:25:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.257e-05, 	535.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:26:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:26:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:26:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:26:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1182.28334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:27:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:27:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.257e-05, 	642.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:27:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:27:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:28:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:28:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:28:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:28:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2408.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:29:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:29:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.257e-05, 	1498.0, 	0.620292%, 	0.190000%, 	0.430292%
2020-04-11 12:29:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:29:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:30:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:30:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:30:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:30:58, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:31:13, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:31:28, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
2020-04-11 12:31:43, 	Poloniex    , 	Binance     , 	STEEM/BTC, 	2.271e-05, 	1049.68334482, 	2.258e-05, 	2205.0, 	0.575731%, 	0.190000%, 	0.385731%
