2020-04-08 18:53:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079066, 	261.685349, 	0.801862%, 	0.460000%, 	0.341862%
2020-04-08 18:53:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079058, 	728.131621, 	0.812062%, 	0.460000%, 	0.352062%
2020-04-08 18:54:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079039, 	80.0, 	0.709776%, 	0.460000%, 	0.249776%
2020-04-08 18:54:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079034, 	80.0, 	0.716147%, 	0.460000%, 	0.256147%
2020-04-08 18:54:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079029, 	90.38632839, 	0.722520%, 	0.460000%, 	0.262520%
2020-04-08 18:54:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079029, 	90.38632839, 	0.722520%, 	0.460000%, 	0.262520%
2020-04-08 18:55:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079029, 	30.12877613, 	0.722520%, 	0.460000%, 	0.262520%
2020-04-08 18:55:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079057, 	30.1007284, 	0.686846%, 	0.460000%, 	0.226846%
2020-04-08 18:55:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079098, 	360.97946171, 	0.761081%, 	0.460000%, 	0.301081%
2020-04-08 18:55:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	38.673, 	0.00079083, 	2782.34573031, 	0.653744%, 	0.460000%, 	0.193744%
2020-04-08 18:56:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079066, 	271.16848553, 	0.675385%, 	0.460000%, 	0.215385%
2020-04-08 18:56:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079065, 	80.0, 	0.676658%, 	0.460000%, 	0.216658%
2020-04-08 18:56:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079061, 	90.38135886, 	0.681752%, 	0.460000%, 	0.221752%
2020-04-08 18:56:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	38.673, 	0.00079056, 	54.13641073, 	0.688120%, 	0.460000%, 	0.228120%
2020-04-08 18:57:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079051, 	60.24720874, 	0.694488%, 	0.460000%, 	0.234488%
2020-04-08 18:57:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.0007905, 	50.1666198, 	0.822264%, 	0.460000%, 	0.362264%
2020-04-08 18:57:43, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079098, 	361.50534629, 	0.761081%, 	0.460000%, 	0.301081%
2020-04-08 18:57:58, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079094, 	80.0, 	0.639745%, 	0.460000%, 	0.179745%
2020-04-08 18:58:13, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079097, 	80.0, 	0.635928%, 	0.460000%, 	0.175928%
2020-04-08 18:58:28, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	25.0, 	0.0007909, 	30.11240084, 	0.771273%, 	0.460000%, 	0.311273%
2020-04-08 18:59:35, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	79.484, 	0.00079105, 	80.0, 	0.752165%, 	0.460000%, 	0.292165%
2020-04-08 18:59:50, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	80.184, 	0.00079063, 	355.962496, 	0.805687%, 	0.460000%, 	0.345687%
2020-04-08 19:00:05, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000798, 	1.95, 	0.00079057, 	196.153761, 	0.939828%, 	0.460000%, 	0.479828%
2020-04-08 19:00:20, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.0007905, 	270.96997259, 	0.695762%, 	0.460000%, 	0.235762%
2020-04-08 19:00:35, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	28.366, 	0.00079049, 	80.0, 	0.697036%, 	0.460000%, 	0.237036%
2020-04-08 19:00:50, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.0007904, 	80.0, 	0.708502%, 	0.460000%, 	0.248502%
2020-04-08 19:01:05, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079033, 	270.84535625, 	0.717422%, 	0.460000%, 	0.257422%
2020-04-08 19:01:20, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079061, 	53.76418298, 	0.681752%, 	0.460000%, 	0.221752%
2020-04-08 19:01:35, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079058, 	119.618706, 	0.685573%, 	0.460000%, 	0.225573%
2020-04-08 19:01:50, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079052, 	90.24410748, 	0.819714%, 	0.460000%, 	0.359714%
2020-04-08 19:02:05, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079051, 	110.78420111, 	0.820989%, 	0.460000%, 	0.360989%
2020-04-08 19:02:20, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.0007906, 	108.67062832, 	0.683026%, 	0.460000%, 	0.223026%
2020-04-08 19:02:35, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079057, 	119.89658661, 	0.813337%, 	0.460000%, 	0.353337%
2020-04-08 19:02:50, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079037, 	519.1545726, 	0.712325%, 	0.460000%, 	0.252325%
2020-04-08 19:03:05, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000796, 	87.123, 	0.00079031, 	361.39487623, 	0.719971%, 	0.460000%, 	0.259971%
2020-04-08 19:03:20, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079031, 	480.08594373, 	0.846503%, 	0.460000%, 	0.386503%
2020-04-08 19:03:35, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	87.084, 	0.00079125, 	34.14748174, 	0.726698%, 	0.460000%, 	0.266698%
2020-04-08 19:03:50, 	Kraken      , 	Bitfinex    , 	ETC/BTC, 	0.000797, 	81.684, 	0.00079091, 	176.16763351, 	0.769999%, 	0.460000%, 	0.309999%
