2020-04-08 20:38:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.83044533, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.83044533, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.8041645, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.8041645, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:39:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000788, 	367.71804057, 	1.015228%, 	0.760000%, 	0.255228%
2020-04-08 20:40:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000788, 	367.71804057, 	1.015228%, 	0.760000%, 	0.255228%
2020-04-08 20:40:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:40:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	21.606, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:40:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	5.368, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:31, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:41:46, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:42:01, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000796, 	0.006, 	0.000787, 	117.85255753, 	1.143583%, 	0.760000%, 	0.383583%
2020-04-08 20:42:16, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000792, 	82.754, 	0.000787, 	117.85255753, 	0.635324%, 	0.760000%, 	-0.124676%
2020-04-08 21:26:41, 	Kraken      , 	Coinbase Pro, 	ETC/BTC, 	0.000798, 	0.42, 	0.000791, 	197.92250262, 	0.884956%, 	0.760000%, 	0.124956%
